question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error
What is the F1 score for Net2 using the BS-9 backbone?,1707.08608v3-Table2-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,422,4,801.4,6.6e-05,I don't know.,,0,0,1,0,0,0.0,428,4,770.9,6.7e-05,I don't know.,
What is the Mean RMSE × 100 value at σ = 0.0025 for shape-annealed gFGR?,1701.03077v10-Table3-1.png,figure,gpt4o-mini,1,0,1,0,0,0.0,567,4,564.7,8.7e-05,I don't know.,,1,0,1,1,1,1.0,573,4,523.3,8.8e-05,I don't know.,
What is the classification accuracy percentage for ZDDA₃ at a training sample size of 20 with a testing sample size of 80?,1707.01922v5-Figure4-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,507,4,838.0,7.8e-05,I don't know.,,0,0,0,1,1,1.0,513,4,528.5,7.9e-05,I don't know.,
"What is the value in the [m, n] column for variable V₂?",1705.02946v3-Figure6-1.png,figure,gpt4o-mini,1,0,1,0,0,0.0,761,4,585.3,0.000117,I don't know.,,1,0,1,0,0,0.0,767,4,541.3,0.000117,I don't know.,
"At a budget of 1×10^9 FLOPS on CIFAR100, what is the approximate test error rate for the EANN+CONST method?",1708.06832v3-Figure5-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,493,4,651.3,7.6e-05,I don't know.,,0,0,0,1,1,0.2,499,4,513.1,7.7e-05,I don't know.,
What is the average input length in words for the Multi30K dataset?,1803.01128v3-Table2-1.png,figure,gpt4o-mini,1,1,1,0,0,0.0,472,17,817.1,8.1e-05,The average input length for the Multi30k dataset is 11.5 words.,,1,0,1,0,0,0.0,478,17,654.9,8.2e-05,The average input length for the Multi30k dataset is 11.5 words.,
What is the accuracy of the Semantic self-supervision method on the Flickr30k dataset?,1803.06506v3-Table2-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,417,4,698.3,6.5e-05,I don't know.,,0,0,0,0,0,0.0,423,4,550.1,6.6e-05,I don't know.,
"In the 80% Random Shuffle condition, what is the approximate final accuracy achieved by the CNN+Mixup (train) method after 300 epochs?",1805.06431v4-Figure14-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,493,4,793.2,7.6e-05,I don't know.,,0,0,0,0,0,0.0,499,4,493.6,7.7e-05,I don't know.,
What is the performance of SPDNet on the PaSC1 dataset?,1611.05742v3-Table1-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,662,4,823.6,0.000102,I don't know.,,0,0,0,0,0,0.0,668,4,579.9,0.000103,I don't know.,
What notation is used to denote the extraction of the diagonal elements from a matrix Y?,1803.04572v2-Table2-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,746,4,810.2,0.000114,I don't know.,,0,0,1,0,0,0.0,752,4,729.9,0.000115,I don't know.,
What is the radio duty cycle percentage for CoAP with batching enabled?,1811.02721v3-Figure9-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,395,4,715.4,6.2e-05,I don't know.,,0,0,1,1,1,1.0,401,4,594.5,6.3e-05,I don't know.,
"At β² = 1.0, what is the approximate difference in performance between Precision and Recall?",1805.07567v2-Figure6-1.png,figure,gpt4o-mini,0,1,1,0,0,0.0,652,34,1114.7,0.000118,"At β² = 1.0, precision and recall are given equal consideration, indicating that there is no significant difference in performance between the two; they are bal",,0,0,1,0,0,0.0,658,33,779.7,0.000118,"At β² = 1.0, precision and recall are considered equally, indicating that there is no significant difference in performance between the two; they are balanced.",
How many basis functions are required for the CHOA algorithm at R=40?,1803.04572v2-Table4-1.png,figure,gpt4o-mini,1,0,1,0,0,0.0,459,4,590.2,7.1e-05,I don't know.,,1,0,1,1,1,1.0,465,4,569.8,7.2e-05,I don't know.,
"In the optical flow visualization for the highway scene, which method produces output with the most prominent cyan-colored flow vectors in the lower left region?",1802.07351v2-Figure10-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,507,4,551.0,7.8e-05,I don't know.,,0,0,1,0,0,0.0,513,4,717.6,7.9e-05,I don't know.,
What is the Overall performance score for the UnCoRD-VG-E method?,1811.08481v2-Table7-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,413,4,665.3,6.4e-05,I don't know.,,0,0,1,1,1,0.2,419,4,590.9,6.5e-05,I don't know.,
"What two cities are listed as census-designated places in Santa Clara County, California?",1804.05995v2-Figure3-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,409,4,693.0,6.4e-05,I don't know.,,0,0,1,1,1,1.0,415,4,703.8,6.5e-05,I don't know.,
"At epoch 60, what is the approximate value of Rs Loss (dashed red line)?",1812.10735v2-Figure5-1.png,figure,gpt4o-mini,1,0,1,0,0,0.0,715,4,599.7,0.00011,I don't know.,,1,0,1,1,1,1.0,721,4,726.5,0.000111,I don't know.,
What is the accuracy percentage of the MiniONN model on the CIFAR-10 dataset?,1811.08257v1-Table6-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,471,4,557.4,7.3e-05,I don't know.,,0,0,1,1,1,0.5,477,4,582.1,7.4e-05,I don't know.,
What is the F1 score achieved by CIG-Sim&Siam-GCN-BERT^η on the CNSS dataset?,1802.07459v2-Table2-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,462,4,927.4,7.2e-05,I don't know.,,0,0,1,1,1,1.0,468,4,761.0,7.3e-05,I don't know.,
What is the transmission ratio with BP+RR for the GCounter-Tree benchmark using the Delta-based approach?,1803.02750v3-Figure7-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,659,4,485.8,0.000101,I don't know.,,0,0,0,1,1,1.0,665,4,632.7,0.000102,I don't know.,
What is the F1 score for ATAE-CAN-R_o on the Rest15 binary classification task?,1812.10735v2-Table2-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,520,4,756.7,8e-05,I don't know.,,0,0,1,1,1,0.2,526,4,677.1,8.1e-05,I don't know.,
"In the heat maps comparing original and reconstructed facial images, which reconstruction method produces the darkest (most black) heat map in the bottom right position?",1804.04786v3-Figure5-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,396,4,874.4,6.2e-05,I don't know.,,0,0,0,0,0,0.0,402,4,585.9,6.3e-05,I don't know.,
What is the AP₅₀ value when training on City data and testing on Non-City data?,1805.04687v2-Table13-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,391,4,639.9,6.1e-05,I don't know.,,0,0,0,1,1,1.0,397,4,588.3,6.2e-05,I don't know.,
"In the Collision Avoidance experiment, at 150 simulator calls, what is the approximate runtime in seconds for the Naive algorithm compared to ALOQ?",1605.07496v3-Figure6-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,394,4,722.2,6.1e-05,I don't know.,,0,0,0,1,1,1.0,400,4,593.9,6.2e-05,I don't know.,
How many subjects were used in the CMU pose (VGA) dataset?,1812.00281v3-Figure2-1.png,figure,gpt4o-mini,0,1,1,0,0,0.0,402,4,638.3,6.3e-05,I don't know.,,0,0,1,0,0,0.0,408,4,503.1,6.4e-05,I don't know.,
