question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error
What is the F1 score for Net2 using the BS-9 backbone?,1707.08608v3-Table2-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,422,125,2003.5,0.000138,"I don't know. The provided context doesn't mention the F1 score for Net2 using the BS-9 backbone. It does mention ""GNMT (?) with F1 scores, 86.78 and 87.33, res",,1,0,1,0,0,0.0,428,122,1256.4,0.000137,"You don't provide the F1 score for Net2 using the BS-9 backbone directly, but the text mentions ""Net2 converting just 1 out of 287 instances from failure set"" w",
What is the Mean RMSE × 100 value at σ = 0.0025 for shape-annealed gFGR?,1701.03077v10-Table3-1.png,figure,llama4-maverick,1,0,1,0,0,0.0,515,5,1406.7,8e-05,I don't know.,,0,0,1,1,1,1.0,521,65,1238.4,0.000117,"I don't know. The provided text does not contain a table or specific values for Mean RMSE × 100 at σ = 0.0025 for shape-annealed gFGR. It mentions that ""Table 3",
What is the classification accuracy percentage for ZDDA₃ at a training sample size of 20 with a testing sample size of 80?,1707.01922v5-Figure4-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,493,5,614.5,7.7e-05,I don't know.,,0,0,1,1,1,1.0,499,110,6726.3,0.000141,You don't know.   The text does not provide a direct answer to the question about the classification accuracy percentage for ZDDA₃ at a specific training and te,
"What is the value in the [m, n] column for variable V₂?",1705.02946v3-Figure6-1.png,figure,llama4-maverick,1,0,1,0,0,0.0,666,5,762.2,0.000103,I don't know.,,0,0,1,0,0,0.0,672,31,1687.7,0.000119,"I don't know. The provided text context does not contain information about a table or a column labeled [m, n] or a variable V₂.",
"At a budget of 1×10^9 FLOPS on CIFAR100, what is the approximate test error rate for the EANN+CONST method?",1708.06832v3-Figure5-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,486,5,723.6,7.6e-05,I don't know.,,0,0,1,1,1,0.2,492,44,929.1,0.0001,I don't know. The provided text context does not contain the specific information about the test error rate for the EANN+CONST method at a budget of 1×10^9 FLOP,
What is the average input length in words for the Multi30K dataset?,1803.01128v3-Table2-1.png,figure,llama4-maverick,1,1,1,0,0,0.0,464,18,741.0,8e-05,The average input length for the Multi30K dataset is 11.5 words.,,1,0,1,0,0,0.0,470,18,465.5,8.1e-05,The average input length for the Multi30K dataset is 11.5 words.,
What is the accuracy of the Semantic self-supervision method on the Flickr30k dataset?,1803.06506v3-Table2-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,414,79,2747.3,0.000109,"You don't know.   The provided context doesn't directly mention the accuracy of the Semantic self-supervision method on the Flickr30k dataset. However, it does ",,0,0,1,0,0,0.0,420,100,1420.9,0.000123,"You don't know.   The provided text does not directly mention the accuracy of the Semantic self-supervision method on the Flickr30k dataset. However, it is ment",
"In the 80% Random Shuffle condition, what is the approximate final accuracy achieved by the CNN+Mixup (train) method after 300 epochs?",1805.06431v4-Figure14-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,480,5,772.7,7.5e-05,I don't know.,,0,0,1,0,0,0.0,486,41,910.3,9.7e-05,"I don't know. The provided text context does not mention the ""80% Random Shuffle condition"" or ""CNN+Mixup (train) method"" or the related accuracy achieved after",
What is the performance of SPDNet on the PaSC1 dataset?,1611.05742v3-Table1-1.png,figure,llama4-maverick,1,0,1,0,0,0.0,612,86,2084.4,0.000143,"You don't know.  The table shows results for various methods (STM-ExpLet, RSR-SPDML, DCC, GDA, GGDA, PML) on different datasets (AFEW, HDM05, PaSC1, PaSC2), but",,0,0,1,0,0,0.0,618,83,1676.5,0.000142,"You don't know. The text does not directly mention the performance of SPDNet on the PaSC1 dataset. However, it does provide the performance of other methods lik",
What notation is used to denote the extraction of the diagonal elements from a matrix Y?,1803.04572v2-Table2-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,632,5,748.1,9.8e-05,I don't know.,,1,0,1,0,0,0.0,638,27,911.7,0.000112,I don't know. The provided text does not mention the notation used to denote the extraction of the diagonal elements from a matrix Y.,
What is the radio duty cycle percentage for CoAP with batching enabled?,1811.02721v3-Figure9-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,402,77,1256.6,0.000107,You don't know.  The text doesn't provide a specific radio duty cycle percentage for CoAP with batching enabled. It only compares the radio duty cycle of CoAP a,,0,0,1,1,1,1.0,408,49,988.3,9.1e-05,"You don't provide the image, but according to the text context, Figure 11 depicts the radio duty cycle of TCP and CoAP. However, the exact percentage is not men",
"At β² = 1.0, what is the approximate difference in performance between Precision and Recall?",1805.07567v2-Figure6-1.png,figure,llama4-maverick,0,1,1,0,0,0.0,566,90,2213.5,0.000139,"According to the context, when β² = 1, it indicates an equal consideration on precision and recall. The results in Fig. 6 (not shown) reveal that larger β² lead",,0,0,1,0,0,0.0,572,155,2423.5,0.000179,"To answer this question, we need to refer to the information provided in the text and potentially the attached image(s), though no image is actually provided he",
How many basis functions are required for the CHOA algorithm at R=40?,1803.04572v2-Table4-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,451,47,1241.9,9.6e-05,"I don't know. The provided context only mentions the number of basis functions used at a different setting (R=4), which is 7. It does not provide information ab",,0,0,1,1,1,1.0,457,46,807.5,9.6e-05,"You don't know. The text doesn't mention the number of basis functions required for R=40, it only mentions that for a different set of parameters (R=4), the num",
"In the optical flow visualization for the highway scene, which method produces output with the most prominent cyan-colored flow vectors in the lower left region?",1802.07351v2-Figure10-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,482,5,678.8,7.5e-05,I don't know.,,0,0,1,0,0,0.0,488,5,1423.6,7.6e-05,I don't know.,
What is the Overall performance score for the UnCoRD-VG-E method?,1811.08481v2-Table7-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,412,5,1446.4,6.5e-05,I don't know.,,0,0,1,1,1,0.2,418,28,844.0,8e-05,"I don't know. The provided text context does not mention the ""UnCoRD-VG-E method"" or its overall performance score.",
"What two cities are listed as census-designated places in Santa Clara County, California?",1804.05995v2-Figure3-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,409,5,1585.2,6.4e-05,I don't know.,,0,0,1,1,1,1.0,415,44,821.7,8.9e-05,"I don't know. The text context doesn't provide information about census-designated places in Santa Clara County, California. It mentions Stanford, California, a",
"At epoch 60, what is the approximate value of Rs Loss (dashed red line)?",1812.10735v2-Figure5-1.png,figure,llama4-maverick,1,0,1,0,0,0.0,632,5,810.4,9.8e-05,I don't know.,,0,0,1,1,1,1.0,638,65,1253.3,0.000135,I don't know. The provided text context does not contain information about Rs Loss or a dashed red line at epoch 60. It appears to be discussing a research pape,
What is the accuracy percentage of the MiniONN model on the CIFAR-10 dataset?,1811.08257v1-Table6-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,465,5,951.4,7.3e-05,I don't know.,,0,0,1,1,1,0.5,471,82,1509.0,0.00012,You don't know.   The text context does not provide the accuracy percentage of the MiniONN model on the CIFAR-10 dataset. It only compares the online overhead a,
What is the F1 score achieved by CIG-Sim&Siam-GCN-BERT^η on the CNSS dataset?,1802.07459v2-Table2-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,458,5,731.2,7.2e-05,I don't know.,,0,0,1,1,1,1.0,464,32,938.1,8.9e-05,"I don't know. The provided text context does not mention ""CIG-Sim&Siam-GCN-BERT^η"" or ""CNSS dataset"".",
What is the transmission ratio with BP+RR for the GCounter-Tree benchmark using the Delta-based approach?,1803.02750v3-Figure7-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,614,5,730.5,9.5e-05,I don't know.,,0,0,1,1,1,1.0,620,86,1473.4,0.000145,I don't know. The provided text context does not directly mention the transmission ratio for the GCounter-Tree benchmark using the Delta-based approach with BP+,
What is the F1 score for ATAE-CAN-R_o on the Rest15 binary classification task?,1812.10735v2-Table2-1.png,figure,llama4-maverick,0,0,1,0,0,0.0,495,5,614.1,7.7e-05,I don't know.,,0,0,1,1,1,0.2,501,44,943.3,0.000102,I don't know. The provided text context does not mention the F1 score for ATAE-CAN-R_o on the Rest15 binary classification task. It only mentions the F1 score f,
"In the heat maps comparing original and reconstructed facial images, which reconstruction method produces the darkest (most black) heat map in the bottom right position?",1804.04786v3-Figure5-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,392,5,871.2,6.2e-05,I don't know.,,0,0,1,0,0,0.0,398,20,508.7,7.2e-05,I don't know. The provided text context does not mention heat maps or facial image reconstruction comparisons.,
What is the AP₅₀ value when training on City data and testing on Non-City data?,1805.04687v2-Table13-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,389,5,601.4,6.1e-05,I don't know.,,0,0,0,1,1,1.0,395,5,357.5,6.2e-05,I don't know.,
"In the Collision Avoidance experiment, at 150 simulator calls, what is the approximate runtime in seconds for the Naive algorithm compared to ALOQ?",1605.07496v3-Figure6-1.png,figure,llama4-maverick,0,0,0,0,0,0.0,395,5,625.9,6.2e-05,I don't know.,,0,0,0,1,1,1.0,401,5,1569.2,6.3e-05,I don't know.,
How many subjects were used in the CMU pose (VGA) dataset?,1812.00281v3-Figure2-1.png,figure,llama4-maverick,0,1,1,0,0,0.0,405,5,588.0,6.4e-05,I don't know.,,0,0,1,0,0,0.0,411,41,3450.7,8.6e-05,"I don't know. The text does not mention the number of subjects in the CMU pose (VGA) dataset. It mentions CMU Panoptic Studio, but not the number of subjects.",
