question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Daryl Hall and Gerry Marsden both musicians?,Daryl_Hall.txt|Gerry_Marsden.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,0.5,281,77,3312.3,4.6e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians. This can be determined from the provided context, which describes Daryl Hall as an American rock, R&B, and",,1,1,1,1.0,1,0.5,359,50,1392.2,4.4e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians. This can be confirmed from the provided context passages and knowledge-graph facts, which state that Daryl",,1,1,1,1.0,1,0.5,507,15,887.3,4.5e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians.",
"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",712_Fifth_Avenue.txt|Manhattan_Life_Insurance_Building.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,318,27,1205.1,3.4e-05,"712 Fifth Avenue is 650 ft and the Manhattan Life Insurance Building is 348 ft, so 712 Fifth Avenue is taller.",,1,1,1,1.0,1,1.0,431,28,1556.8,4.3e-05,"712 Fifth Avenue is 650 ft and the Manhattan Life Insurance Building was 348 ft. Therefore, 712 Fifth Avenue is taller.",,1,1,1,1.0,1,1.0,561,41,1755.4,5.7e-05,"According to the context, the Manhattan Life Insurance Building was 348 ft, while 712 5th Avenue is a 650 ft skyscraper. Therefore, 712 Fifth Avenue is taller.",
"Which genus has more species, Xanthoceras or Ehretia?",Ehretia.txt|Xanthoceras.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,327,40,1751.0,3.8e-05,"According to the context, Ehretia has about 50 species, while Xanthoceras has only 1 species. Therefore, Ehretia has more species than Xanthoceras.",,1,1,1,1.0,1,1.0,382,35,2152.9,4.1e-05,"Ehretia has about 50 species.  Xanthoceras has only 1 species.  Therefore, Ehretia has more species than Xanthoceras.",,1,1,1,1.0,1,1.0,566,34,1224.8,5.5e-05,"Ehretia has about 50 species, while Xanthoceras has only one species. Therefore, Ehretia has more species than Xanthoceras.",
Where are Teide National Park and Garajonay National Park located?,Garajonay_National_Park.txt|Teide_National_Park.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,264,49,1702.9,3.6e-05,"Teide National Park is located in Tenerife, one of the Canary Islands, Spain.   Garajonay National Park is located in the center and north of the island of La G",,1,1,1,1.0,1,1.0,377,35,2747.8,4.1e-05,"Teide National Park is located in Tenerife, Canary Islands, Spain.  Garajonay National Park is located in La Gomera, Canary Islands, Spain.",,1,1,1,1.0,1,1.0,454,37,1548.4,4.7e-05,"Teide National Park is located in Tenerife, Canary Islands, Spain. Garajonay National Park is located in La Gomera, one of the Canary Islands, Spain.",
"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel_Alexandrov.txt|Semyon_Aranovich_Gershgorin.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,346,52,1636.7,4.3e-05,"Pavel Alexandrov has written about three hundred papers, while there is no information about the number of papers written by Semyon Aranovich Gershgorin. Theref",,1,1,1,1.0,1,1.0,357,48,3562.5,4.3e-05,"Pavel Alexandrov has written about three hundred papers, while I don't know how many papers Semyon Aranovich Gershgorin wrote. Therefore, Pavel Alexandrov is th",,1,1,1,1.0,1,1.0,637,13,725.4,5.5e-05,"Pavel Alexandrov, he wrote about three hundred papers.",
"Which came out first, Dinosaur or McFarland, USA",Dinosaur_film.txt|McFarland_USA.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,356,31,797.9,3.8e-05,"Dinosaur was released in 2000, and McFarland, USA was released in 2015. Therefore, Dinosaur came out first.",,1,1,1,1.0,1,1.0,459,19,945.9,4.2e-05,"Dinosaur (2000) came out before McFarland, USA (2015).",,1,1,1,1.0,1,1.0,468,37,1357.0,4.9e-05,"According to the context:  * Dinosaur was released in 2000 * McFarland, USA was released in 2015  So, Dinosaur came out first.",
"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur_Conan_Doyle.txt|Penelope_Lively.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,290,41,1128.8,3.6e-05,"Sir Arthur Ignatius Conan Doyle was born on 22 May 1859, and Penelope Lively was born on 17 March 1933. Therefore, Arthur Conan Doyle was born first.",,1,1,1,1.0,1,1.0,350,38,2165.8,3.9e-05,"Arthur Conan Doyle was born on 22 May 1859, and Penelope Lively was born on 17 March 1933. Therefore, Arthur Conan Doyle was born first.",,1,1,1,1.0,1,1.0,519,43,2523.3,5.4e-05,"Sir Arthur Ignatius Conan Doyle was born on 22 May 1859, and Dame Penelope Margaret Lively was born on 17 March 1933. Therefore, Arthur Conan Doyle was born fir",
"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",Gimme_Shelter_1970_film.txt|LaLee_s_Kin_The_Legacy_of_Cotton.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,263,29,1397.8,3e-05,LaLee's Kin: The Legacy of Cotton was Oscar nominated. It was nominated for Best Documentary Feature at the 74th Academy Awards.,,1,1,1,1.0,1,1.0,382,40,1673.2,4.3e-05,LaLee's Kin: The Legacy of Cotton was Oscar nominated. It was nominated for Best Documentary Feature at the 74th Academy Awards. I don't know if Gimme Shelter w,,1,1,1,1.0,1,1.0,410,24,1197.4,4e-05,LaLee's Kin: The Legacy of Cotton was nominated for Best Documentary Feature at the 74th Academy Awards.,
Were Scott Derrickson and Ed Wood of the same nationality?,Ed_Wood.txt|Scott_Derrickson.txt,hotpot_comparison,llama4-scout,1,1,1,0.5,0,1.0,304,42,1205.8,3.7e-05,"According to the context, Scott Derrickson is American. The context also refers to Ed Wood as an American filmmaker. Therefore, yes, Scott Derrickson and Ed Woo",,0,1,1,0.5,0,1.0,407,33,1289.4,4.2e-05,"Scott Derrickson is American. However, I don't know Ed Wood's nationality. Therefore, I can't confirm if they are of the same nationality or not.",,1,1,1,1.0,1,1.0,481,8,595.9,4.1e-05,"Yes, they were both American.",
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,Eski_Imaret_Mosque.txt|Nusretiye_Clock_Tower.txt,hotpot_comparison,llama4-scout,1,0,1,1.0,1,1.0,421,4,517.6,3.5e-05,Istanbul.,,1,0,1,1.0,1,1.0,516,4,591.4,4.2e-05,Istanbul.,,1,1,1,1.0,1,1.0,669,4,988.1,5.5e-05,Istanbul.,
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Esma_Sultan_Mansion.txt|Laleli_Mosque.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,314,39,1211.9,3.7e-05,"No, they are not. The Laleli Mosque is located in Laleli, Fatih, Istanbul, while the Esma Sultan Mansion is located in Ortaköy neighborhood of Istanbul.",,1,0,1,1.0,1,1.0,398,104,2265.7,6.3e-05,"Based on the provided context passages, I can see that:  * The Laleli Mosque is located in Laleli, Fatih, Istanbul, Turkey. * The Esma Sultan Mansion is located",,1,1,1,1.0,1,1.0,414,39,1660.3,4.5e-05,"No, they are not. The Laleli Mosque is located in Laleli, Fatih, Istanbul, while the Esma Sultan Mansion is located in Ortaköy neighborhood of Istanbul.",
Are both Dafeng District and Dazhou located in the same province?,Dafeng_District.txt|Dazhou.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,264,24,1156.0,2.8e-05,"No. Dafeng District is located in Jiangsu province, while Dazhou is located in Sichuan province.",,1,0,1,1.0,1,1.0,363,24,1297.3,3.6e-05,"No, Dafeng District is located in Jiangsu province, while Dazhou is located in Sichuan province.",,1,1,1,1.0,1,1.0,395,28,1025.7,4e-05,"No, they are not. Dafeng District is located in Jiangsu province, while Dazhou is located in Sichuan province.",
What occupation do Chris Menges and Aram Avakian share?,Aram_Avakian.txt|Chris_Menges.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,266,9,16724.5,2.4e-05,They share the occupation of film director.,,1,1,1,1.0,1,1.0,338,18,1216.2,3.2e-05,"They are both film directors. Additionally, Chris Menges is also a cinematographer.",,1,1,1,1.0,1,1.0,439,16,1062.7,4e-05,They are both film directors. Chris Menges is also a cinematographer.,
which is larger Asante Traditional Buildings or Gulangyu?,Asante_Traditional_Buildings.txt|Gulangyu.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,256,22,850.7,2.7e-05,Gulangyu is about 2 km2. I don't know the size of Asante Traditional Buildings.,,1,1,1,1.0,1,1.0,358,34,1090.0,3.9e-05,"Gulangyu is about 2 km2 in area. I don't know the size of Asante Traditional Buildings. Therefore, I don't know which one is larger.",,1,1,1,1.0,1,1.0,292,24,1160.0,3.1e-05,Gulangyu is about 2 km2 in area. I don't know the size of Asante Traditional Buildings.,
Are Local H and For Against both from the United States?,For_Against.txt|Local_H.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,274,41,975.5,3.4e-05,"Yes. According to the context, For Against is a United States post-punk/dream pop band from Lincoln, Nebraska, and Local H is an American rock band originally f",,1,0,1,1.0,1,1.0,362,35,1363.2,3.9e-05,Yes.  Local H is an American rock band and For Against is a United States post-punk/dream pop band. Both descriptions mention being from the United States.,,1,1,1,1.0,1,1.0,369,34,933.2,4e-05,"Yes, according to the provided context, Local H and For Against are both from the United States. Local H is from Illinois, and For Against is from Nebraska.",
"Are both Dictyosperma, and Huernia described as a genus?",Dictyosperma.txt|Huernia.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,353,62,1430.2,4.7e-05,"According to the context, yes, both Dictyosperma and Huernia are described as a genus. The context states that ""The genus Huernia...consists of stem succulents.",,1,1,1,1.0,1,1.0,425,65,2227.4,5.3e-05,According to the context passages:  * Huernia was first described as a genus in 1810. * Dictyosperma is a monotypic genus of flowering plant.  This implies that,,1,0,1,1.0,1,1.0,585,65,1604.3,6.6e-05,"According to the context, yes. The context states that ""The genus Huernia... was first described as a genus in 1810"" and ""Dictyosperma is a monotypic genus of f",
Are both Cypress and Ajuga genera?,Ajuga.txt|Cypress.txt,hotpot_comparison,llama4-scout,1,1,1,0.5,0,0.5,307,75,1755.3,4.7e-05,"Yes, both ""Cupressus"" and ""Ajuga"" are genera. This can be inferred as they are both written with capital letters, which is a common convention for genus names. ",,1,1,1,0.5,0,0.5,395,49,1463.4,4.6e-05,"Yes, both Cypress and Ajuga are genera.  The context passage for Cupressus (Cypress) refers to it as a genus.  The knowledge-graph facts and context passage for",,1,1,1,1.0,1,0.5,381,49,1639.3,4.5e-05,"Yes, both Cypress and Ajuga are genera.   - Cypress is a genus within the family Cupressaceae. - Ajuga is a genus of 40 species annual and perennial herbaceous ",
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",Buck-Tick.txt|Hayden_musician.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,351,15,812.0,3.3e-05,"Buck-Tick is from Fujioka, Gunma, in Japan.",,1,1,1,1.0,1,1.0,392,27,925.8,3.9e-05,"According to the context passages, Buck-Tick is from Japan, specifically formed in Fujioka, Gunma in 1983.",,1,1,1,1.0,1,1.0,583,15,1624.6,5.1e-05,"Buck-Tick is from Fujioka, Gunma, in Japan.",
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Henry_Roth.txt|Robert_Erskine_Childers.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,334,56,1254.1,4.4e-05,"Robert Erskine Childers. He was a British writer.   (No information about Henry Roth's nationality or place of origin was provided, but based on his name and bi",,1,0,1,1.0,1,1.0,457,106,2606.4,6.8e-05,"Based on the provided context, Robert Erskine Childers was British, but it's not explicitly stated that he was from England. However, it is mentioned that he wa",,1,1,1,1.0,1,1.0,520,26,1034.2,4.9e-05,"Robert Erskine Childers was British, but I don't know if he was from England specifically. Henry Roth was American.",
Are Ferocactus and Silene both types of plant?,Ferocactus.txt|Silene.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,302,36,1568.0,3.5e-05,"Yes, they are both types of plants. Ferocactus is a genus of cacti and Silene is a genus of flowering plants in the family Caryophyllaceae.",,1,1,1,1.0,1,1.0,396,39,1292.9,4.3e-05,"Yes, Ferocactus and Silene are both types of plants. Ferocactus is a genus of large barrel-shaped cacti, and Silene is a genus of flowering plants.",,1,1,1,1.0,1,1.0,541,31,1382.5,5.3e-05,"Yes. According to the context, Ferocactus is a genus of large barrel-shaped cacti and Silene is a genus of flowering plants.",
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,Ambroise_Thomas.txt|Giuseppe_Verdi.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,190,47,1695.2,2.9e-05,"Yes, they are both opera composers. According to the context, Ambroise Thomas is a French composer, best known for his operas ""Mignon"" and ""Hamlet"". Giuseppe Ve",,1,1,1,1.0,1,1.0,294,44,1312.9,3.7e-05,"Yes, Giuseppe Verdi was an Italian opera composer and Charles Louis Ambroise Thomas was a French composer, best known for his operas. Therefore, both Giuseppe V",,1,1,1,1.0,1,1.0,448,56,1173.0,5.3e-05,"According to the context, yes, Giuseppe Verdi and Ambroise Thomas are both opera composers.  - Giuseppe Verdi is referred to as an ""Italian opera composer"". - A",
What occupation was shared by David Yates and Pietro Germi?,David_Yates.txt|Pietro_Germi.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,249,6,667.5,2.2e-05,They were both directors.,,1,1,1,1.0,1,1.0,335,27,1002.1,3.5e-05,"Director.   (David Yates is a filmmaker, which includes being a director. Pietro Germi is stated to be a director.)",,1,1,1,1.0,1,1.0,391,6,439.8,3.3e-05,They were both directors.,
Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,The_Five_Obstructions.txt|The_Importance_of_Being_Icelandic.txt,hotpot_comparison,llama4-scout,1,0,1,1.0,1,1.0,327,46,1309.9,4e-05,"Based on the provided context, The Importance of Being Icelandic is a documentary film and The Five Obstructions is also a documentary film. Therefore, no, they",,0,0,1,1.0,1,1.0,396,5,996.5,3.3e-05,I don't know.,,0,0,1,1.0,1,1.0,487,40,1566.6,5.1e-05,"I don't know. The context only describes the films ""The Importance of Being Icelandic"" and ""The Five Obstructions"" but does not provide information about their ",
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Oz_the_Great_and_Powerful.txt|Sacred_Planet.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,349,38,1519.0,3.9e-05,"Sacred Planet was released first. According to the text, it was released on April 22, 2004, while Oz the Great and Powerful was released in 2013.",,1,1,1,1.0,1,1.0,463,32,1570.7,4.7e-05,"Sacred Planet was released in 2004, while Oz the Great and Powerful was released in 2013. Therefore, Sacred Planet was released first.",,1,1,1,1.0,1,1.0,461,32,1245.6,4.6e-05,"Sacred Planet was released in 2004, while Oz the Great and Powerful was released in 2013. Therefore, Sacred Planet was released first.",
"Who was born earlier, Emma Bull or Virginia Woolf?",Emma_Bull.txt|Virginia_Woolf.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,358,33,745.5,3.9e-05,"Virginia Woolf was born earlier. She was born on 25 January 1882, while Emma Bull was born on December 13, 1954.",,1,1,1,1.0,1,1.0,452,38,1073.3,4.8e-05,"Virginia Woolf was born on January 25, 1882, and Emma Bull was born on December 13, 1954. Therefore, Virginia Woolf was born earlier.",,1,1,1,1.0,1,1.0,557,30,1529.6,5.4e-05,"Virginia Woolf (born January 25, 1882) was born earlier than Emma Bull (born December 13, 1954).",
Is the Marsilea or the Brabejum the genus of more individual species of plants?,Brabejum.txt|Marsilea.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,338,45,1163.9,4.1e-05,"The Marsilea is the genus of approximately 65 species of plants, while the Brabejum is the genus of a single species of plant. Therefore, the Marsilea is the ge",,1,1,1,1.0,1,1.0,454,46,1011.8,5e-05,"The Marsilea is the genus of more individual species of plants. According to the context, Marsilea is a genus of approximately 65 species of aquatic ferns, whil",,1,1,1,1.0,1,1.0,547,50,1425.5,5.9e-05,"The Marsilea is a genus of approximately 65 species of aquatic ferns, while the Brabejum is a genus of a single species of large evergreen tree. Therefore, the ",
"Who died first, George Archainbaud or Ralph Murphy?",George_Archainbaud.txt|Ralph_Murphy.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,305,38,910.3,3.6e-05,"Ralph Murphy died on February 10, 1967, and George Archainbaud died on February 20, 1959. Therefore, George Archainbaud died first.",,1,1,1,1.0,1,1.0,426,37,1579.0,4.5e-05,"George Archainbaud died on February 20, 1959, and Ralph Murphy died on February 10, 1967. Therefore, George Archainbaud died first.",,1,1,1,1.0,1,1.0,537,38,1165.9,5.4e-05,"Ralph Murphy died on February 10, 1967, and George Archainbaud died on February 20, 1959. Therefore, George Archainbaud died first.",
"Which board game was published most recently, Pirate's Cove or Catan?",Catan.txt|Pirate_s_Cove.txt,hotpot_comparison,llama4-scout,0,1,1,0.5,0,1.0,432,66,2436.6,5.4e-05,The information about Pirate's Cove was published in 2002/2003.  The information about Catan was published in 2002 (The Catan Card Game) and 2010 (The Rivals fo,,1,0,1,0.5,0,1.0,529,157,3819.7,8.9e-05,"To determine which board game was published most recently, we need to find the publication dates of both games.  Pirate's Cove was published in 2002.  The Catan",,1,0,1,0.5,0,1.0,606,122,2483.6,8.5e-05,"The context doesn't provide enough information to determine which board game was published most recently between Pirate's Cove and Catan. However, we know that ",
"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig_v._Boren.txt|United_States_v._Paramount_Pictures_Inc..txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,426,25,746.2,4.2e-05,"United States v. Paramount Pictures, Inc. (1948) came before Craig v. Boren (1976).",,1,1,1,1.0,1,1.0,445,38,2146.2,4.7e-05,"United States v. Paramount Pictures, Inc. (1948) came first.    Craig v. Boren (1976) came after United States v. Paramount Pictures, Inc.",,1,1,1,1.0,1,1.0,605,34,1948.9,5.9e-05,"United States v. Paramount Pictures, Inc. came first. It was decided in 1948, while Craig v. Boren was decided in 1976.",
Can Stenocereus and Pachypodium both include tree like plants?,Pachypodium.txt|Stenocereus.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,284,61,2154.1,4.1e-05,"According to the context:  Stenocereus is a genus of columnar or tree-like cacti.  Pachypodium is a genus of succulent spine-bearing trees and shrubs.  So, yes,",,1,1,1,1.0,1,1.0,384,84,1682.9,5.6e-05,"Based on the provided context passages, yes, Stenocereus and Pachypodium can both include tree-like plants.   The Stenocereus passage describes Stenocereus as a",,1,1,1,1.0,1,1.0,284,61,2319.5,4.1e-05,"According to the context:  Stenocereus is a genus of columnar or tree-like cacti.  Pachypodium is a genus of succulent spine-bearing trees and shrubs.  So, yes,",
Are Random House Tower and 888 7th Avenue both used for real estate?,888_7th_Avenue.txt|Random_House_Tower.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,390,94,2026.8,5.9e-05,"According to the context, Random House Tower is used as the headquarters of book publisher Random House and a luxury apartment complex. 888 7th Avenue is an off",,1,1,1,1.0,1,1.0,510,210,6400.2,0.000104,"According to the context passages, Random House Tower is used as the headquarters of book publisher Random House and a luxury apartment complex.   888 7th Avenu",,1,1,1,1.0,1,1.0,500,80,1986.7,6.4e-05,Random House Tower is used as the headquarters of book publisher Random House and a luxury apartment complex.   888 7th Avenue is an office skyscraper that curr,
Are Broughtonia and Laeliocattleya both orchids?,Broughtonia.txt|Laeliocattleya.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,192,40,1326.6,2.7e-05,"Yes, they are both orchids. The context also mentions that Broughtonia is a genus of orchids, and Laeliocattleya is a type of intergeneric orchid hybrid.",,1,1,1,1.0,1,1.0,281,38,1344.6,3.4e-05,"Yes, they are both orchids.  Broughtonia is a genus of orchids. Laeliocattleya is a nothogenus of intergeneric orchid hybrids.",,1,1,1,1.0,1,1.0,315,38,1426.4,3.7e-05,"Yes, they are both orchids.  Broughtonia is a genus of orchids. Laeliocattleya is a nothogenus of intergeneric orchid hybrids.",
