question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error
What is the F1 score for Net2 using the BS-9 backbone?,1707.08608v3-Table2-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,447,37,684.4,6e-05,"I don't know. The provided text mentions Net2 and beam 9, but it does not explicitly state an F1 score for Net2 using a BS-9 backbone.",,0,0,1,0,0,0.0,454,38,627.3,6.1e-05,"I don't know. The provided text mentions Net2 and beam 9 (BS-9), but it does not explicitly state the F1 score for Net2 using that backbone.",
What is the Mean RMSE × 100 value at σ = 0.0025 for shape-annealed gFGR?,1701.03077v10-Table3-1.png,figure,gemini-flash-lite,1,0,1,0,0,0.0,567,6,409.6,5.9e-05,I don't know.,,0,0,1,1,1,1.0,574,25,524.6,6.7e-05,I don't know. The provided text does not contain a table or data listing Mean RMSE values for specific σ levels.,
What is the classification accuracy percentage for ZDDA₃ at a training sample size of 20 with a testing sample size of 80?,1707.01922v5-Figure4-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,501,6,521.3,5.3e-05,I don't know.,,0,0,1,1,1,1.0,508,56,523.2,7.3e-05,"I don't know. The provided text mentions that ZDDA3 was trained with noisy training data ($p_{train}=20$) and evaluated under different noise conditions, but it",
"What is the value in the [m, n] column for variable V₂?",1705.02946v3-Figure6-1.png,figure,gemini-flash-lite,1,0,1,0,0,0.0,679,6,555.5,7e-05,I don't know.,,1,0,1,0,0,0.0,686,6,583.2,7.1e-05,I don't know.,
"At a budget of 1×10^9 FLOPS on CIFAR100, what is the approximate test error rate for the EANN+CONST method?",1708.06832v3-Figure5-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,534,6,524.5,5.6e-05,I don't know.,,0,0,1,1,1,0.2,541,56,596.4,7.7e-05,"I don't know. The provided text mentions that CONST has the best early predictions as shown in Table 3a, but it does not provide the specific test error rate fo",
What is the average input length in words for the Multi30K dataset?,1803.01128v3-Table2-1.png,figure,gemini-flash-lite,1,1,1,0,0,0.0,526,19,496.3,6e-05,The average input length for the Multi30k dataset is 11.5 words.,,1,0,1,0,0,0.0,533,19,480.6,6.1e-05,The average input length for the Multi30k dataset is 11.5 words.,
What is the accuracy of the Semantic self-supervision method on the Flickr30k dataset?,1803.06506v3-Table2-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,444,6,608.4,4.7e-05,I don't know.,,0,0,1,0,0,0.0,451,53,605.3,6.6e-05,"I don't know. The provided text states that the model achieves performance ""comparable to the state-of-art on Flickr30k dataset,"" but it does not provide a spec",
"In the 80% Random Shuffle condition, what is the approximate final accuracy achieved by the CNN+Mixup (train) method after 300 epochs?",1805.06431v4-Figure14-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,558,6,576.8,5.8e-05,I don't know.,,0,0,1,0,0,0.0,565,33,516.2,7e-05,"I don't know. The provided text does not contain information regarding an ""80% Random Shuffle condition"" or a ""CNN+Mixup"" method.",
What is the performance of SPDNet on the PaSC1 dataset?,1611.05742v3-Table1-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,694,6,508.8,7.2e-05,I don't know.,,0,0,1,0,0,0.0,701,26,663.7,8.1e-05,I don't know. The provided text and table do not contain performance data for SPDNet on the PaSC1 dataset.,
What notation is used to denote the extraction of the diagonal elements from a matrix Y?,1803.04572v2-Table2-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,663,6,504.0,6.9e-05,I don't know.,,0,0,1,0,0,0.0,670,6,825.0,6.9e-05,I don't know.,
What is the radio duty cycle percentage for CoAP with batching enabled?,1811.02721v3-Figure9-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,430,40,759.7,5.9e-05,"I don't know. The provided text mentions that the radio duty cycle is significantly smaller with batching than without, but it does not provide a specific perce",,0,0,1,1,1,1.0,437,41,587.6,6e-05,"I don't know. The provided text mentions that the radio duty cycle is significantly smaller with batching than without, but it does not provide a specific perce",
"At β² = 1.0, what is the approximate difference in performance between Precision and Recall?",1805.07567v2-Figure6-1.png,figure,gemini-flash-lite,0,1,1,0,0,0.0,621,34,573.8,7.6e-05,"The provided context states that $\beta^{2}=1$ indicates equal consideration on precision and recall, but it does not provide an approximate difference in perfo",,0,0,1,0,0,0.0,628,49,525.0,8.2e-05,"I don't know. The provided text states that $\beta^{2}=1$ indicates ""equal consideration on precision and recall,"" but it does not provide specific performance ",
How many basis functions are required for the CHOA algorithm at R=40?,1803.04572v2-Table4-1.png,figure,gemini-flash-lite,0,1,1,0,0,0.0,502,40,640.5,6.6e-05,"I don't know. The provided text mentions using 7 basis functions for a configuration where R=4, but it does not specify the number of basis functions used when ",,0,0,1,1,1,1.0,509,42,575.4,6.8e-05,"I don't know. The provided text mentions using 7 basis functions for a configuration where $R=4$, but it does not specify the number of basis functions used whe",
"In the optical flow visualization for the highway scene, which method produces output with the most prominent cyan-colored flow vectors in the lower left region?",1802.07351v2-Figure10-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,516,6,464.7,5.4e-05,I don't know.,,0,0,1,0,0,0.0,523,29,543.7,6.4e-05,"I don't know. The provided text does not contain information about a ""highway scene"" or a comparison of specific optical flow visualization methods.",
What is the Overall performance score for the UnCoRD-VG-E method?,1811.08481v2-Table7-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,443,6,474.7,4.7e-05,I don't know.,,0,0,1,1,1,0.2,450,6,444.1,4.7e-05,I don't know.,
"What two cities are listed as census-designated places in Santa Clara County, California?",1804.05995v2-Figure3-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,448,6,484.6,4.7e-05,I don't know.,,0,0,1,1,1,1.0,455,6,444.1,4.8e-05,I don't know.,
"At epoch 60, what is the approximate value of Rs Loss (dashed red line)?",1812.10735v2-Figure5-1.png,figure,gemini-flash-lite,1,0,1,0,0,0.0,639,6,592.6,6.6e-05,I don't know.,,0,0,1,1,1,1.0,646,26,473.3,7.5e-05,"I don't know. The provided text does not contain information about epoch 60 or a graph showing ""Rs Loss.""",
What is the accuracy percentage of the MiniONN model on the CIFAR-10 dataset?,1811.08257v1-Table6-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,521,6,485.3,5.4e-05,I don't know.,,0,0,1,1,1,0.5,528,51,517.8,7.3e-05,"I don't know. The provided text mentions the performance of FALCON relative to MiniONN in terms of speed and communication overhead, but it does not state the a",
What is the F1 score achieved by CIG-Sim&Siam-GCN-BERT^η on the CNSS dataset?,1802.07459v2-Table2-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,489,6,564.4,5.1e-05,I don't know.,,0,0,1,1,1,1.0,496,6,534.9,5.2e-05,I don't know.,
What is the transmission ratio with BP+RR for the GCounter-Tree benchmark using the Delta-based approach?,1803.02750v3-Figure7-1.png,figure,gemini-flash-lite,1,1,1,0,0,0.0,680,43,630.9,8.5e-05,"I don't know. The provided text mentions that in the tree topology, BP is enough to attain the best result, but it does not provide the specific transmission ra",,0,0,1,1,1,1.0,687,47,728.8,8.7e-05,"I don't know. The provided text mentions that the evaluation uses 15-node topologies and discusses the performance of BP+RR, but it does not provide the specifi",
What is the F1 score for ATAE-CAN-R_o on the Rest15 binary classification task?,1812.10735v2-Table2-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,528,6,494.6,5.5e-05,I don't know.,,0,0,1,1,1,0.2,535,63,568.4,7.9e-05,"I don't know. The provided text mentions that ATAE-CAN-$R_o$ outperforms ATAE-LSTM by 6.46% in the 3-way classification task for the Rest15 dataset, but it does",
"In the heat maps comparing original and reconstructed facial images, which reconstruction method produces the darkest (most black) heat map in the bottom right position?",1804.04786v3-Figure5-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,412,6,475.2,4.4e-05,I don't know.,,0,0,1,0,0,0.0,419,27,686.5,5.3e-05,I don't know. The provided text context does not contain information about heat maps or their appearance in relation to specific reconstruction methods.,
What is the AP₅₀ value when training on City data and testing on Non-City data?,1805.04687v2-Table13-1.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,415,6,478.4,4.4e-05,I don't know.,,0,0,1,1,1,1.0,422,36,642.0,5.7e-05,"I don't know. The provided text mentions that there is a domain discrepancy between city and non-city image sets, but it does not provide specific AP₅₀ values.",
"In the Collision Avoidance experiment, at 150 simulator calls, what is the approximate runtime in seconds for the Naive algorithm compared to ALOQ?",1605.07496v3-Figure6-1.png,figure,gemini-flash-lite,0,0,1,0,0,0.0,410,35,504.5,5.5e-05,I don't know. The provided text does not contain information regarding the runtime in seconds for the Naive algorithm or ALOQ at 150 simulator calls.,,0,0,1,1,1,1.0,417,35,533.8,5.6e-05,I don't know. The provided text context does not contain information regarding the runtime in seconds for the Naive algorithm or ALOQ in the Collision Avoidance,
How many subjects were used in the CMU pose (VGA) dataset?,1812.00281v3-Figure2-1.png,figure,gemini-flash-lite,0,1,1,0,0,0.0,447,6,511.8,4.7e-05,I don't know.,,0,0,1,0,0,0.0,454,40,556.4,6.1e-05,"I don't know. The provided text mentions the CMU Panoptic Studio dataset, but it does not specify the number of subjects used in a ""CMU pose (VGA)"" dataset.",
