question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Bamboo Mañalac and Danny Jones both musicians?,Bamboo_Manalac_c064bb.txt|Danny_Jones.txt,hotpot_comparison,gemini-flash-lite,0,0,1,0.5,0,1.0,327,6,609.2,3.5e-05,I don't know.,,0,0,1,0.5,0,1.0,412,6,494.4,4.4e-05,I don't know.,,1,1,1,1.0,1,1.0,454,23,616.7,5.5e-05,"Yes, both are musicians. Bamboo Mañalac is a Filipino American musician and Danny Jones is a British musician.",
"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",712_Fifth_Avenue.txt|Manhattan_Life_Insurance_Building.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,339,29,605.1,4.6e-05,"712 Fifth Avenue is taller. It is 650 ft, while the Manhattan Life Insurance Building is 348 ft.",,1,1,1,1.0,1,1.0,464,31,544.0,5.9e-05,"712 Fifth Avenue is taller. It is 650 ft, while the Manhattan Life Insurance Building was a 348 ft tower.",,1,1,1,1.0,1,1.0,593,30,602.0,7.1e-05,"712 Fifth Avenue is taller, as it is 650 ft, while the Manhattan Life Insurance Building is 348 ft.",
"Which genus has more species, Xanthoceras or Ehretia?",Ehretia.txt|Xanthoceras.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,308,28,566.5,4.2e-05,"Ehretia has more species. Ehretia contains about 50 species, while Xanthoceras is a genus with only one species.",,1,1,1,1.0,1,1.0,365,28,652.1,4.8e-05,"Ehretia has more species. Ehretia contains about 50 species, while Xanthoceras is a genus with only one species.",,1,1,1,1.0,1,1.0,543,28,520.0,6.5e-05,"Ehretia has more species. Ehretia contains about 50 species, while Xanthoceras is a genus with only one species.",
Where are Teide National Park and Garajonay National Park located?,Garajonay_National_Park.txt|Teide_National_Park.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,272,44,528.5,4.5e-05,"Teide National Park is located in Tenerife (Canary Islands, Spain). Garajonay National Park is located in the center and north of the island of La Gomera, one o",,1,1,1,1.0,1,1.0,398,43,759.3,5.7e-05,"Teide National Park is located in Tenerife, Canary Islands, Spain. Garajonay National Park is located in the center and north of the island of La Gomera, one of",,1,1,1,1.0,1,1.0,474,44,949.1,6.5e-05,"Teide National Park is located in Tenerife (Canary Islands, Spain). Garajonay National Park is located in the center and north of the island of La Gomera, one o",
"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel_Alexandrov.txt|Semyon_Aranovich_Gershgorin.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,367,5,561.8,3.9e-05,Pavel Alexandrov.,,1,1,1,1.0,1,1.0,382,31,583.7,5.1e-05,Pavel Alexandrov has written about three hundred papers. The provided text does not state how many papers Semyon Aranovich Gershgorin wrote.,,1,1,1,1.0,1,1.0,663,31,669.9,7.9e-05,Pavel Alexandrov has written about three hundred papers. The provided context does not state how many papers Semyon Aranovich Gershgorin wrote.,
"Which came out first, Dinosaur or McFarland, USA",Dinosaur_film.txt|McFarland_USA.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,354,24,563.6,4.5e-05,"Dinosaur came out first (2000), while McFarland, USA came out in 2015.",,1,1,1,1.0,1,1.0,462,24,605.6,5.6e-05,"Dinosaur came out first (2000), while McFarland, USA came out in 2015.",,1,1,1,1.0,1,1.0,476,24,571.5,5.7e-05,"Dinosaur came out first (2000), while McFarland, USA came out in 2015.",
"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur_Conan_Doyle.txt|Penelope_Lively.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,305,24,580.5,4e-05,"Arthur Conan Doyle was born first (1859), while Penelope Lively was born in 1933.",,1,1,1,1.0,1,1.0,366,32,637.1,4.9e-05,"Arthur Conan Doyle was born first (22 May 1859), while Penelope Lively was born on 17 March 1933.",,1,1,1,1.0,1,1.0,551,24,621.2,6.5e-05,"Arthur Conan Doyle was born first (1859), while Penelope Lively was born in 1933.",
"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",Gimme_Shelter_1970_film.txt|LaLee_s_Kin_The_Legacy_of_Cotton.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,279,25,575.5,3.8e-05,LaLee's Kin: The Legacy of Cotton was nominated for Best Documentary Feature at the 74th Academy Awards.,,1,1,1,1.0,1,1.0,409,25,547.3,5.1e-05,LaLee's Kin: The Legacy of Cotton was nominated for Best Documentary Feature at the 74th Academy Awards.,,1,1,1,1.0,1,1.0,437,25,563.9,5.4e-05,LaLee's Kin: The Legacy of Cotton was nominated for Best Documentary Feature at the 74th Academy Awards.,
Were Scott Derrickson and Ed Wood of the same nationality?,Ed_Wood.txt|Scott_Derrickson.txt,hotpot_comparison,gemini-flash-lite,1,1,1,0.5,0,1.0,300,29,608.9,4.2e-05,"Yes, both are American. Scott Derrickson is described as an American director, and *Ed Wood* is described as an American biographical film.",,1,1,1,0.5,0,1.0,396,20,588.3,4.8e-05,"Yes. Scott Derrickson is an American director, and *Ed Wood* is an American film.",,1,1,1,1.0,1,1.0,490,12,511.5,5.4e-05,"Yes, both Scott Derrickson and Ed Wood were American.",
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,Eski_Imaret_Mosque.txt|Nusretiye_Clock_Tower.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,416,20,567.7,5e-05,A person can find both the Nusretiye Clock Tower and the Eski Imaret Mosque in Istanbul.,,1,1,1,1.0,1,1.0,514,20,531.6,5.9e-05,A person can find both the Nusretiye Clock Tower and the Eski Imaret Mosque in Istanbul.,,1,1,1,1.0,1,1.0,665,22,529.3,7.5e-05,"A person can find both the Nusretiye Clock Tower and the Eski Imaret Mosque in Istanbul, Turkey.",
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Esma_Sultan_Mansion.txt|Laleli_Mosque.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,307,34,587.1,4.4e-05,"No, they are not. The Esma Sultan Mansion is located in the Ortaköy neighborhood, while the Laleli Mosque is located in Laleli, Fatih.",,1,0,1,1.0,1,1.0,388,49,626.2,5.8e-05,I don't know. The provided text states that the Esma Sultan Mansion is located in the Ortaköy neighborhood and the Laleli Mosque is located in the Laleli neighb,,1,1,1,1.0,1,1.0,417,34,549.6,5.5e-05,"No, they are not. The Esma Sultan Mansion is located in the Ortaköy neighborhood, while the Laleli Mosque is located in Laleli, Fatih.",
Are both Dafeng District and Dazhou located in the same province?,Dafeng_District.txt|Dazhou.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,264,24,475.2,3.6e-05,"No. According to the provided text, Dafeng District is in Jiangsu province and Dazhou is in Sichuan province.",,1,0,1,1.0,1,1.0,371,21,602.7,4.6e-05,"No. Dafeng District is located in Jiangsu province, and Dazhou is located in Sichuan province.",,1,1,1,1.0,1,1.0,401,19,579.7,4.8e-05,"No. Dafeng District is in Jiangsu province, and Dazhou is in Sichuan province.",
What occupation do Chris Menges and Aram Avakian share?,Aram_Avakian.txt|Chris_Menges.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,274,16,568.2,3.4e-05,Chris Menges and Aram Avakian both share the occupation of film director.,,1,1,1,1.0,1,1.0,345,16,568.1,4.1e-05,Chris Menges and Aram Avakian both share the occupation of film director.,,1,1,1,1.0,1,1.0,455,16,537.2,5.2e-05,Chris Menges and Aram Avakian both share the occupation of film director.,
which is larger Asante Traditional Buildings or Gulangyu?,Asante_Traditional_Buildings.txt|Gulangyu.txt,hotpot_comparison,gemini-flash-lite,0,0,1,1.0,1,1.0,259,20,587.1,3.4e-05,I don't know. The provided text does not state the area of the Asante Traditional Buildings.,,0,1,1,1.0,1,1.0,366,25,620.5,4.7e-05,I don't know. The provided context and knowledge-graph facts do not state the area of the Asante Traditional Buildings.,,0,1,1,1.0,1,1.0,299,20,543.8,3.8e-05,I don't know. The provided context does not state the area of the Asante Traditional Buildings.,
Are Local H and For Against both from the United States?,For_Against.txt|Local_H.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,282,27,793.7,3.9e-05,"Yes, both bands are from the United States. For Against is from Lincoln, Nebraska, and Local H is from Zion, Illinois.",,1,1,1,1.0,1,1.0,376,28,587.5,4.9e-05,"Yes, both bands are from the United States. For Against is from Lincoln, Nebraska, and Local H was formed in Zion, Illinois.",,1,1,1,1.0,1,1.0,382,27,563.9,4.9e-05,"Yes, both bands are from the United States. For Against is from Lincoln, Nebraska, and Local H is from Zion, Illinois.",
"Are both Dictyosperma, and Huernia described as a genus?",Dictyosperma.txt|Huernia.txt,hotpot_comparison,gemini-flash-lite,1,0,1,1.0,1,1.0,344,9,566.1,3.8e-05,"Yes, both are described as a genus.",,1,1,1,1.0,1,1.0,419,49,680.2,6.2e-05,"Yes, both are described as a genus. According to the provided text, *Huernia* was first described as a genus in 1810, and *Dictyosperma* is described as a monot",,1,1,1,1.0,1,1.0,573,9,516.9,6.1e-05,"Yes, both are described as a genus.",
Are both Cypress and Ajuga genera?,Ajuga.txt|Cypress.txt,hotpot_comparison,gemini-flash-lite,1,1,1,0.5,0,0.5,297,6,507.1,3.2e-05,"Yes, both are genera.",,1,1,1,0.5,0,0.5,389,41,660.8,5.5e-05,"Yes, both are genera. According to the provided text, *Ajuga* is a genus of 40 species, and *Cupressus* is a genus within the family Cupressaceae.",,1,1,1,1.0,1,0.5,370,51,642.4,5.7e-05,"Yes, both are genera. According to the provided text, *Ajuga* is a genus of 40 species, and *Cupressus* (which shares the common name cypress) is one of several",
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",Buck-Tick.txt|Hayden_musician.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,355,11,553.1,4e-05,"Buck-Tick hails from Fujioka, Gunma.",,1,1,1,1.0,1,1.0,397,11,557.9,4.4e-05,"Buck-Tick hails from Fujioka, Gunma.",,1,1,1,1.0,1,1.0,603,11,448.9,6.5e-05,"Buck-Tick hails from Fujioka, Gunma.",
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Henry_Roth.txt|Robert_Erskine_Childers.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,329,22,432.1,4.2e-05,Robert Erskine Childers was a British writer. The provided context does not state that Henry Roth was from England.,,1,0,1,1.0,1,1.0,447,30,629.2,5.7e-05,Robert Erskine Childers was a British writer. The provided text does not state that Henry Roth was from England; it identifies him as an American novelist.,,1,0,1,1.0,1,1.0,522,30,468.7,6.4e-05,Robert Erskine Childers was a British writer. The provided context does not state that Henry Roth was from England; it identifies him as an American novelist.,
Are Ferocactus and Silene both types of plant?,Ferocactus.txt|Silene.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,295,27,472.6,4e-05,"Yes, both are types of plants. Ferocactus is a genus of cacti, and Silene is a genus of flowering plants.",,1,1,1,1.0,1,1.0,388,27,561.6,5e-05,"Yes, both are types of plants. Ferocactus is a genus of cacti, and Silene is a genus of flowering plants.",,1,1,1,1.0,1,1.0,539,27,602.1,6.5e-05,"Yes, both are types of plants. Ferocactus is a genus of cacti, and Silene is a genus of flowering plants.",
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,Ambroise_Thomas.txt|Giuseppe_Verdi.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,199,7,498.0,2.3e-05,"Yes, both are opera composers.",,1,1,1,1.0,1,1.0,303,13,731.4,3.6e-05,"Yes, both Giuseppe Verdi and Ambroise Thomas were opera composers.",,1,1,1,1.0,1,1.0,458,13,527.4,5.1e-05,"Yes, both Giuseppe Verdi and Ambroise Thomas are opera composers.",
What occupation was shared by David Yates and Pietro Germi?,David_Yates.txt|Pietro_Germi.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,264,10,532.8,3e-05,Both David Yates and Pietro Germi were directors.,,1,1,1,1.0,1,1.0,354,10,510.7,3.9e-05,Both David Yates and Pietro Germi were directors.,,1,1,1,1.0,1,1.0,409,10,564.3,4.5e-05,Both David Yates and Pietro Germi were directors.,
Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,The_Five_Obstructions.txt|The_Importance_of_Being_Icelandic.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,327,8,507.6,3.6e-05,Both films are described as documentary films.,,1,0,1,1.0,1,1.0,399,32,622.9,5.3e-05,"No. According to the provided context and knowledge-graph facts, both *The Importance of Being Icelandic* and *The Five Obstructions* are documentary films.",,0,0,1,1.0,1,1.0,487,48,624.4,6.8e-05,"I don't know. The provided text identifies *The Importance of Being Icelandic* as a documentary film and *The Five Obstructions* as a Danish documentary film, b",
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Oz_the_Great_and_Powerful.txt|Sacred_Planet.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,357,27,532.4,4.6e-05,"Sacred Planet was released first (2004), while Oz the Great and Powerful was released in 2013.",,1,1,1,1.0,1,1.0,476,27,545.5,5.8e-05,"Sacred Planet was released first (2004), while Oz the Great and Powerful was released in 2013.",,1,1,1,1.0,1,1.0,479,27,442.6,5.9e-05,"Sacred Planet was released first (2004), while Oz the Great and Powerful was released in 2013.",
"Who was born earlier, Emma Bull or Virginia Woolf?",Emma_Bull.txt|Virginia_Woolf.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,366,6,491.9,3.9e-05,Virginia Woolf was born earlier.,,1,1,1,1.0,1,1.0,464,37,790.1,6.1e-05,"Virginia Woolf was born earlier. She was born on 25 January 1882, while Emma Bull was born on December 13, 1954.",,1,1,1,1.0,1,1.0,564,44,652.5,7.4e-05,"Virginia Woolf was born earlier. According to the provided text, Virginia Woolf was born on 25 January 1882, while Emma Bull was born on December 13, 1954.",
Is the Marsilea or the Brabejum the genus of more individual species of plants?,Brabejum.txt|Marsilea.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,330,33,580.1,4.6e-05,"Marsilea is the genus of more individual species of plants, as it contains approximately 65 species, while Brabejum is a genus of a single species.",,1,1,1,1.0,1,1.0,448,34,906.4,5.8e-05,"Marsilea is the genus of more individual species of plants, as it consists of approximately 65 species, whereas Brabejum is a genus of a single species.",,1,1,1,1.0,1,1.0,536,29,560.0,6.5e-05,"Marsilea is the genus of more individual species, with approximately 65 species, while Brabejum is a genus of a single species.",
"Who died first, George Archainbaud or Ralph Murphy?",George_Archainbaud.txt|Ralph_Murphy.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,324,34,575.8,4.6e-05,"George Archainbaud died first (February 20, 1959), while Ralph Murphy died on February 10, 1967.",,1,1,1,1.0,1,1.0,449,37,586.4,6e-05,"George Archainbaud died first. He died on February 20, 1959, while Ralph Murphy died on February 10, 1967.",,1,1,1,1.0,1,1.0,571,34,522.5,7.1e-05,"George Archainbaud died first (February 20, 1959), while Ralph Murphy died on February 10, 1967.",
"Which board game was published most recently, Pirate's Cove or Catan?",Catan.txt|Pirate_s_Cove.txt,hotpot_comparison,gemini-flash-lite,0,0,1,0.5,0,1.0,434,41,590.8,6e-05,"I don't know. The provided context does not contain information regarding a board game simply titled ""Catan,"" nor does it provide a publication date for the ""Ca",,1,1,1,0.5,0,1.0,533,69,685.1,8.1e-05,"I don't know. The provided context and knowledge-graph facts do not contain a publication date for ""Catan"" (the series or the original game), only for ""Pirate's",,1,1,1,0.5,0,1.0,615,39,652.3,7.7e-05,"I don't know. The provided context does not contain information regarding the publication date of ""Catan"" (only the ""Catan Card Game"" and ""The Rivals for Catan""",
"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig_v._Boren.txt|United_States_v._Paramount_Pictures_Inc..txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,462,30,555.5,5.8e-05,"United States v. Paramount Pictures, Inc. came first (1948), followed by Craig v. Boren (1976).",,1,1,1,1.0,1,1.0,484,37,579.1,6.3e-05,"United States v. Paramount Pictures, Inc. came first. It was decided in 1948, while Craig v. Boren was decided in 1976.",,1,1,1,1.0,1,1.0,654,28,562.4,7.7e-05,"United States v. Paramount Pictures, Inc. (1948) came before Craig v. Boren (1976).",
Can Stenocereus and Pachypodium both include tree like plants?,Pachypodium.txt|Stenocereus.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,274,44,668.7,4.5e-05,"Yes. According to the provided text, *Stenocereus* is a genus of columnar or tree-like cacti, and *Pachypodium* is a genus of succulent spine-bearing trees and ",,1,1,1,1.0,1,1.0,369,44,666.2,5.5e-05,"Yes. According to the provided text, *Stenocereus* is a genus of columnar or tree-like cacti, and *Pachypodium* is a genus of succulent spine-bearing trees and ",,1,1,1,1.0,1,1.0,274,44,714.2,4.5e-05,"Yes. According to the provided text, *Stenocereus* is a genus of columnar or tree-like cacti, and *Pachypodium* is a genus of succulent spine-bearing trees and ",
Are Random House Tower and 888 7th Avenue both used for real estate?,888_7th_Avenue.txt|Random_House_Tower.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,414,68,657.2,6.9e-05,"The provided text states that the Random House Tower is used as a luxury apartment complex and the headquarters of a book publisher. Regarding 888 7th Avenue, t",,1,1,1,1.0,1,1.0,557,41,611.8,7.2e-05,The Random House Tower is used as a luxury apartment complex and the headquarters of a book publisher. 888 7th Avenue is an office skyscraper that carries the V,,1,0,1,1.0,1,1.0,528,66,709.8,7.9e-05,The provided context states that the Random House Tower is used as a luxury apartment complex and the headquarters of a book publisher. Regarding 888 7th Avenue,
Are Broughtonia and Laeliocattleya both orchids?,Broughtonia.txt|Laeliocattleya.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,180,32,585.6,3.1e-05,"Yes, both are orchids. Laeliocattleya is a nothogenus of intergeneric orchid hybrids, and Broughtonia is a genus of orchids.",,1,1,1,1.0,1,1.0,271,32,552.2,4e-05,"Yes, both are orchids. Laeliocattleya is a nothogenus of intergeneric orchid hybrids, and Broughtonia is a genus of orchids.",,1,1,1,1.0,1,1.0,301,32,551.3,4.3e-05,"Yes, both are orchids. Broughtonia is a genus of orchids, and Laeliocattleya is a nothogenus of intergeneric orchid hybrids.",
"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi_Taygan.txt|Mahesh_Bhupathi.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,274,39,585.0,4.3e-05,"Ferdi Taygan is older. He was born on December 5, 1956, and Mahesh Bhupathi was born on June 7, 1974.",,1,1,1,1.0,1,1.0,385,39,616.3,5.4e-05,"Ferdi Taygan is older. He was born on December 5, 1956, while Mahesh Bhupathi was born on June 7, 1974.",,1,1,1,1.0,1,1.0,395,39,604.2,5.5e-05,"Ferdi Taygan is older. He was born on December 5, 1956, and Mahesh Bhupathi was born on June 7, 1974.",
"Which director had the longest career, Alain Resnais or Scott Sidney?",Alain_Resnais.txt|Scott_Sidney.txt,hotpot_comparison,gemini-flash-lite,0,1,1,1.0,1,1.0,334,37,618.1,4.8e-05,"Alain Resnais had the longer career, as his career extended over more than six decades, while Scott Sidney directed films between 1913 and 1927.",,0,1,1,1.0,1,1.0,423,37,679.7,5.7e-05,"Alain Resnais had the longer career, as his career extended over more than six decades, while Scott Sidney directed films between 1913 and 1927.",,1,1,1,1.0,1,1.0,527,37,596.5,6.8e-05,"Alain Resnais had the longest career, as his career extended over more than six decades, while Scott Sidney directed films between 1913 and 1927.",
