run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,_source
2026-07-17_01:20:59,questions_publaynet_multihop,multihop,llama4-scout,Meta/DeepInfra,open,30,+multimodal,0.9,0.9,0.883,0.5,0.533,0.733,657.1,62.4,1323.5,0.002139,0.0071,summary_questions_publaynet_multihop_llama4-scout_20260717_012059.csv
2026-07-17_01:20:59,questions_publaynet_multihop,multihop,llama4-scout,Meta/DeepInfra,open,30,+both,0.9,0.9,0.883,0.533,0.5,0.6,711.0,82.5,1769.4,0.002449,0.0082,summary_questions_publaynet_multihop_llama4-scout_20260717_012059.csv
2026-07-17_01:59:00,questions_publaynet_multihop,multihop,llama4-maverick,Meta/DeepInfra,open,30,baseline,0.9,0.9,0.883,0.5,0.467,0.733,486.0,67.0,3063.0,0.003393,0.0113,summary_questions_publaynet_multihop_llama4-maverick_20260717_015900.csv
2026-07-17_01:59:00,questions_publaynet_multihop,multihop,llama4-maverick,Meta/DeepInfra,open,30,+KG,0.9,0.9,0.883,0.533,0.4,0.667,536.0,106.7,4683.6,0.004332,0.0144,summary_questions_publaynet_multihop_llama4-maverick_20260717_015900.csv
2026-07-17_01:59:00,questions_publaynet_multihop,multihop,llama4-maverick,Meta/DeepInfra,open,30,+multimodal,0.9,0.9,0.883,0.567,0.433,0.867,657.1,91.5,3666.6,0.004604,0.0153,summary_questions_publaynet_multihop_llama4-maverick_20260717_015900.csv
2026-07-17_01:59:00,questions_publaynet_multihop,multihop,llama4-maverick,Meta/DeepInfra,open,30,+both,0.9,0.9,0.883,0.533,0.367,0.733,711.0,103.3,4248.7,0.00506,0.0169,summary_questions_publaynet_multihop_llama4-maverick_20260717_015900.csv
2026-07-17_02:40:06,questions_publaynet_figures_caption,figure,gpt4o-mini,OpenAI,closed,35,baseline,0.0,0.0,0.0,0.2,0.429,0.429,449.6,30.7,1199.9,0.003004,0.0086,summary_questions_publaynet_figures_caption_gpt4o-mini_20260717_024006.csv
2026-07-17_02:40:06,questions_publaynet_figures_caption,figure,gpt4o-mini,OpenAI,closed,35,+KG,0.0,0.0,0.0,0.114,0.286,0.343,478.3,22.4,1021.7,0.002981,0.0085,summary_questions_publaynet_figures_caption_gpt4o-mini_20260717_024006.csv
2026-07-17_02:40:06,questions_publaynet_figures_caption,figure,gpt4o-mini,OpenAI,closed,35,+multimodal,0.257,0.257,0.186,0.371,0.229,0.714,9765.2,65.9,1987.0,0.05265,0.1504,summary_questions_publaynet_figures_caption_gpt4o-mini_20260717_024006.csv
2026-07-17_02:40:06,questions_publaynet_figures_caption,figure,gpt4o-mini,OpenAI,closed,35,+both,0.257,0.257,0.186,0.4,0.257,0.743,9797.9,69.6,2094.0,0.0529,0.1511,summary_questions_publaynet_figures_caption_gpt4o-mini_20260717_024006.csv
2026-07-17_02:41:55,questions_publaynet_figures_caption,figure,gemini-flash-lite,Google,closed,35,baseline,0.0,0.0,0.0,0.2,0.343,0.486,477.9,39.6,511.8,0.002227,0.0064,summary_questions_publaynet_figures_caption_gemini-flash-lite_20260717_024155.csv
2026-07-17_02:41:55,questions_publaynet_figures_caption,figure,gemini-flash-lite,Google,closed,35,+KG,0.0,0.0,0.0,0.171,0.4,0.571,508.4,44.0,539.5,0.002395,0.0068,summary_questions_publaynet_figures_caption_gemini-flash-lite_20260717_024155.csv
2026-07-17_02:41:55,questions_publaynet_figures_caption,figure,gemini-flash-lite,Google,closed,35,+multimodal,0.257,0.257,0.186,0.314,0.257,0.8,1568.1,77.3,1054.9,0.006571,0.0188,summary_questions_publaynet_figures_caption_gemini-flash-lite_20260717_024155.csv
2026-07-17_02:41:55,questions_publaynet_figures_caption,figure,gemini-flash-lite,Google,closed,35,+both,0.257,0.257,0.186,0.257,0.229,0.8,1602.6,84.3,906.9,0.00679,0.0194,summary_questions_publaynet_figures_caption_gemini-flash-lite_20260717_024155.csv
2026-07-17_02:43:26,questions_publaynet_figures_caption,figure,llama4-scout,Meta/DeepInfra,open,35,baseline,0.0,0.0,0.0,0.143,0.371,0.657,451.0,59.3,1946.3,0.001886,0.0054,summary_questions_publaynet_figures_caption_llama4-scout_20260717_024326.csv
2026-07-17_02:43:26,questions_publaynet_figures_caption,figure,llama4-scout,Meta/DeepInfra,open,35,+KG,0.0,0.0,0.0,0.2,0.4,0.571,477.5,65.5,1973.7,0.002024,0.0058,summary_questions_publaynet_figures_caption_llama4-scout_20260717_024326.csv
2026-07-17_02:43:26,questions_publaynet_figures_caption,figure,llama4-scout,Meta/DeepInfra,open,35,+multimodal,0.257,0.257,0.186,0.257,0.143,0.543,869.1,122.6,3455.2,0.003721,0.0106,summary_questions_publaynet_figures_caption_llama4-scout_20260717_024326.csv
2026-07-17_02:43:26,questions_publaynet_figures_caption,figure,llama4-scout,Meta/DeepInfra,open,35,+both,0.257,0.257,0.186,0.2,0.143,0.657,899.7,133.1,4116.4,0.003916,0.0112,summary_questions_publaynet_figures_caption_llama4-scout_20260717_024326.csv
2026-07-17_02:45:05,questions_publaynet_figures_caption,figure,llama4-maverick,Meta/DeepInfra,open,35,baseline,0.0,0.0,0.0,0.171,0.343,0.571,451.0,71.9,2218.9,0.003877,0.0111,summary_questions_publaynet_figures_caption_llama4-maverick_20260717_024505.csv
2026-07-17_02:45:05,questions_publaynet_figures_caption,figure,llama4-maverick,Meta/DeepInfra,open,35,+KG,0.0,0.0,0.0,0.143,0.314,0.571,477.5,98.5,2991.1,0.004575,0.0131,summary_questions_publaynet_figures_caption_llama4-maverick_20260717_024505.csv
2026-07-17_02:45:05,questions_publaynet_figures_caption,figure,llama4-maverick,Meta/DeepInfra,open,35,+multimodal,0.257,0.257,0.186,0.257,0.2,0.714,869.1,136.9,4149.5,0.007439,0.0213,summary_questions_publaynet_figures_caption_llama4-maverick_20260717_024505.csv
2026-07-17_02:45:05,questions_publaynet_figures_caption,figure,llama4-maverick,Meta/DeepInfra,open,35,+both,0.257,0.257,0.186,0.257,0.257,0.714,899.7,150.9,5695.9,0.007893,0.0226,summary_questions_publaynet_figures_caption_llama4-maverick_20260717_024505.csv
2026-07-16_23:03:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,4.0,1012.9,0.00263,0.0075,summary_questions_publaynet_figures_gpt4o-mini_20260716_230338.csv
2026-07-16_23:03:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.0,689.7,0.002766,0.0079,summary_questions_publaynet_figures_gpt4o-mini_20260716_230338.csv
2026-07-16_23:03:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+multimodal,0.371,0.371,0.286,0.086,0.057,0.2,9476.7,11.7,1171.0,0.049999,0.1429,summary_questions_publaynet_figures_gpt4o-mini_20260716_230338.csv
2026-07-16_23:03:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+both,0.371,0.371,0.286,0.114,0.114,0.257,9506.6,14.7,1213.2,0.050218,0.1435,summary_questions_publaynet_figures_gpt4o-mini_20260716_230338.csv
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,baseline,0.0,0.0,0.0,0.0,0.0,0.029,517.3,7.3,475.7,0.001913,0.0055,summary_questions_publaynet_figures_gemini-flash-lite_20260716_232410.csv
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+KG,0.0,0.0,0.0,0.0,0.0,0.086,544.9,9.7,439.8,0.002043,0.0058,summary_questions_publaynet_figures_gemini-flash-lite_20260716_232410.csv
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+multimodal,0.371,0.371,0.286,0.057,0.171,0.6,1601.3,26.2,685.5,0.005971,0.0171,summary_questions_publaynet_figures_gemini-flash-lite_20260716_232410.csv
2026-07-16_23:24:10,questions_publaynet_figures,figure,gemini-flash-lite,Google,closed,35,+both,0.371,0.371,0.286,0.086,0.086,0.286,1632.9,21.1,764.1,0.00601,0.0172,summary_questions_publaynet_figures_gemini-flash-lite_20260716_232410.csv
2026-07-17_01:30:59,questions_publaynet_figures,figure,llama4-scout,Meta/DeepInfra,open,35,baseline,0.0,0.0,0.0,0.0,0.0,0.114,484.3,8.3,522.2,0.001443,0.0041,summary_questions_publaynet_figures_llama4-scout_20260717_013059.csv
2026-07-17_01:30:59,questions_publaynet_figures,figure,llama4-scout,Meta/DeepInfra,open,35,+KG,0.0,0.0,0.0,0.0,0.0,0.086,508.2,22.9,777.0,0.001663,0.0048,summary_questions_publaynet_figures_llama4-scout_20260717_013059.csv
2026-07-17_01:30:59,questions_publaynet_figures,figure,llama4-scout,Meta/DeepInfra,open,35,+multimodal,0.371,0.371,0.286,0.114,0.114,0.429,861.1,52.0,1785.8,0.002957,0.0084,summary_questions_publaynet_figures_llama4-scout_20260717_013059.csv
2026-07-17_01:30:59,questions_publaynet_figures,figure,llama4-scout,Meta/DeepInfra,open,35,+both,0.371,0.371,0.286,0.057,0.086,0.457,888.9,85.2,2515.2,0.003384,0.0097,summary_questions_publaynet_figures_llama4-scout_20260717_013059.csv
2026-07-17_02:15:10,questions_publaynet_figures,figure,llama4-maverick,Meta/DeepInfra,open,35,baseline,0.0,0.0,0.0,0.0,0.0,0.371,484.3,26.8,1108.0,0.003106,0.0089,summary_questions_publaynet_figures_llama4-maverick_20260717_021510.csv
2026-07-17_02:15:10,questions_publaynet_figures,figure,llama4-maverick,Meta/DeepInfra,open,35,+KG,0.0,0.0,0.0,0.0,0.0,0.2,508.2,58.2,1876.0,0.003891,0.0111,summary_questions_publaynet_figures_llama4-maverick_20260717_021510.csv
2026-07-17_02:15:10,questions_publaynet_figures,figure,llama4-maverick,Meta/DeepInfra,open,35,+multimodal,0.371,0.371,0.286,0.086,0.114,0.6,861.1,100.1,3801.3,0.006623,0.0189,summary_questions_publaynet_figures_llama4-maverick_20260717_021510.csv
2026-07-17_02:15:10,questions_publaynet_figures,figure,llama4-maverick,Meta/DeepInfra,open,35,+both,0.371,0.371,0.286,0.086,0.171,0.514,888.9,103.0,3397.1,0.00683,0.0195,summary_questions_publaynet_figures_llama4-maverick_20260717_021510.csv
2026-07-17_02:46:48,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,4.0,566.3,0.04383,0.1252,summary_questions_publaynet_figures_gpt4o_20260717_024648.csv
2026-07-17_02:46:48,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.0,642.5,0.046098,0.1317,summary_questions_publaynet_figures_gpt4o_20260717_024648.csv
2026-07-17_02:46:48,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+multimodal,0.371,0.371,0.286,0.143,0.171,0.886,760.5,29.9,1200.0,0.077012,0.22,summary_questions_publaynet_figures_gpt4o_20260717_024648.csv
2026-07-17_02:46:48,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+both,0.371,0.371,0.286,0.143,0.086,0.8,790.4,31.5,1383.3,0.0802,0.2291,summary_questions_publaynet_figures_gpt4o_20260717_024648.csv
