question_type,question_set,model,vendor,access,system,recall,complete,mrr,acc,faith,rel
figure,questions_publaynet_figures,gpt4o-mini,OpenAI,closed,+KG,0.0,0.0,0.0,0.0,0.0,0.0
figure,questions_publaynet_figures,gpt4o-mini,OpenAI,closed,+multimodal,0.371,0.371,0.286,0.086,0.057,0.2
figure,questions_publaynet_figures,gpt4o-mini,OpenAI,closed,+both,0.371,0.371,0.286,0.114,0.114,0.257
figure,questions_publaynet_figures,gemini-flash-lite,Google,closed,baseline,0.0,0.0,0.0,0.0,0.0,0.029
figure,questions_publaynet_figures,gemini-flash-lite,Google,closed,+KG,0.0,0.0,0.0,0.0,0.0,0.086
figure,questions_publaynet_figures,gemini-flash-lite,Google,closed,+multimodal,0.371,0.371,0.286,0.057,0.171,0.6
figure,questions_publaynet_figures,gemini-flash-lite,Google,closed,+both,0.371,0.371,0.286,0.086,0.086,0.286
figure,questions_publaynet_figures,llama4-scout,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.0,0.0,0.114
figure,questions_publaynet_figures,llama4-scout,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.0,0.0,0.086
figure,questions_publaynet_figures,llama4-scout,Meta/DeepInfra,open,+multimodal,0.371,0.371,0.286,0.114,0.114,0.429
figure,questions_publaynet_figures,llama4-scout,Meta/DeepInfra,open,+both,0.371,0.371,0.286,0.057,0.086,0.457
figure,questions_publaynet_figures,llama4-maverick,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.0,0.0,0.371
figure,questions_publaynet_figures,llama4-maverick,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.0,0.0,0.2
figure,questions_publaynet_figures,llama4-maverick,Meta/DeepInfra,open,+multimodal,0.371,0.371,0.286,0.086,0.114,0.6
figure,questions_publaynet_figures,llama4-maverick,Meta/DeepInfra,open,+both,0.371,0.371,0.286,0.086,0.171,0.514
figure,questions_publaynet_figures,gpt4o,OpenAI,diagnostic,baseline,0.0,0.0,0.0,0.0,0.0,0.0
figure,questions_publaynet_figures,gpt4o,OpenAI,diagnostic,+KG,0.0,0.0,0.0,0.0,0.0,0.0
figure,questions_publaynet_figures,gpt4o,OpenAI,diagnostic,+multimodal,0.371,0.371,0.286,0.143,0.171,0.886
figure,questions_publaynet_figures,gpt4o,OpenAI,diagnostic,+both,0.371,0.371,0.286,0.143,0.086,0.8
