question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"How does the feed-forward neural network predict the next joint configuration of a robot, and what role does it play in evaluating the coherence of sentence embeddings?",1603.03833v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,467,5,276.1,7.3e-05,I don't know.,,0,0,0,0,0,0.0,478,60,1313.0,0.000108,I don't know. The provided context passages and knowledge-graph facts do not contain information about a feed-forward neural network predicting the next joint c,,0,0,0,0,0,0.0,674,85,1507.8,0.000152,I don't know. The provided text context and image descriptions do not mention a feed-forward neural network or its role in predicting the next joint configurati,,0,0,0,0,0,0.0,689,81,1282.8,0.000152,I don't know. The provided text context and knowledge-graph facts do not mention a feed-forward neural network or its role in predicting the next joint configur,
"How do sequence-to-sequence models utilize a hierarchical structure for combinatorial optimization, and what challenges do they face when applied to the AMR dataset?",1611.02654v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,386,43,924.8,8.4e-05,"I don't know. The provided context does not mention sequence-to-sequence models or the AMR dataset. It discusses MCDM methods, constraint-based models, and meta",,0,0,0,0,0,0.0,400,72,3879.0,0.000103,"I don't know.   The provided context passages and knowledge-graph facts do not contain information about sequence-to-sequence models, their hierarchical structu",,0,0,0,0,0,0.0,545,27,1120.0,9.8e-05,I don't know. The provided text context and image descriptions do not mention sequence-to-sequence models or their application to the AMR dataset.,,0,0,0,0,0,0.0,563,38,1091.5,0.000107,I don't know. The provided text context and knowledge-graph facts do not mention sequence-to-sequence models or their application to the AMR dataset. The image ,
"How does the uniqueness of factorizations relate to standard compressed sensing, and what role does sparsity play in applications of standard compressed sensing?",1706.08146v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,404,5,291.3,6.4e-05,I don't know.,,0,0,1,0,0,0.0,427,64,1091.8,0.000102,I'm afraid I don't know. The provided context passages and knowledge-graph facts do not contain information about the uniqueness of factorizations or its relati,,0,0,1,0,0,0.0,564,54,912.0,0.000117,I don't know. The provided text context and image descriptions do not discuss the uniqueness of factorizations or its relation to standard compressed sensing. T,,0,0,1,0,0,0.0,591,89,1148.6,0.000142,"Unfortunately, the provided text context, knowledge-graph facts, and image descriptions do not contain information about the uniqueness of factorizations and it",
"How is the Stanford sentiment treebank utilized in binary classification tasks, and what classification type is associated with TREC?",1709.02755v5.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,484,73,1404.6,0.000116,I don't know. The provided context doesn't mention the Stanford sentiment treebank or its utilization in binary classification tasks. It does mention TREC in th,,0,0,0,0,0,0.0,495,107,1749.3,0.000138,I don't know.   Reasoning: The provided context passages and knowledge-graph facts do not contain information about the Stanford sentiment treebank or its utili,,0,0,1,0,0,0.0,666,75,2003.8,0.000145,"I don't know. The provided text context does not mention the Stanford sentiment treebank or its utilization in binary classification tasks. However, it does men",,0,0,1,0,0,0.0,681,73,1623.7,0.000146,I don't know. The provided text context and image descriptions do not mention the Stanford sentiment treebank or its utilization in binary classification tasks.,
"How do deep neural network models capture semantic dependencies in natural language, and what privacy concerns arise when using deep neural network models for prediction services?",1802.07459v2.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,452,59,1081.9,0.000103,I don't know. The provided context does not discuss how deep neural network models capture semantic dependencies in natural language or the privacy concerns rel,,0,0,1,0,0,0.0,476,76,1176.4,0.000117,I don't know. The provided context passages and knowledge-graph facts do not contain information about how deep neural network models capture semantic dependenc,,0,0,1,0,0,0.0,648,74,1730.5,0.000142,I don't know. The provided text context does not discuss how deep neural network models capture semantic dependencies in natural language or the privacy concern,,0,0,1,0,0,0.0,676,66,1225.7,0.000141,I don't know. The provided text context and knowledge-graph facts do not discuss how deep neural network models capture semantic dependencies in natural languag,
"How does the negative sampling strategy enhance the performance of AMAN in CVR modeling, and what role does it play in the training iterations of RippleNet?",1804.07931v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,392,31,684.0,7.7e-05,"I don't know. The provided context does not mention AMAN, CVR modeling, or RippleNet, so I am unable to answer the question.",,0,0,0,0,0,0.0,403,34,686.8,8.1e-05,"I don't know. The provided context passages and knowledge-graph facts do not contain information about the negative sampling strategy, AMAN, CVR modeling, or Ri",,0,0,0,0,0,0.0,583,31,102097.6,0.000106,"I don't know. The provided text context and image descriptions do not mention the negative sampling strategy, AMAN, CVR modeling, or RippleNet.",,0,0,0,0,0,0.0,598,50,1124.0,0.00012,"I don't know. The provided text context and knowledge-graph facts do not contain information about the negative sampling strategy, AMAN, CVR modeling, or Ripple",
"How does the exponential moving average contribute to the unsupervised loss term in the temporal ensemble, and what role does it play in boosting performance during model evaluation?",1805.06431v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,507,52,873.5,0.000107,I don't know. The provided context does not mention the exponential moving average or its contribution to the unsupervised loss term in the temporal ensemble. I,,0,0,0,0,0,0.0,540,69,1489.5,0.000122,I don't know. The provided context passages and knowledge-graph facts do not contain information about the exponential moving average or its contribution to the,,0,0,0,0,0,0.0,670,32,811.7,0.00012,I don't know. The provided text context and image descriptions do not mention the exponential moving average or its contribution to the unsupervised loss term i,,0,0,0,0,0,0.0,707,63,852.7,0.000144,I don't know. The provided text context and knowledge-graph facts do not mention the exponential moving average or its contribution to the unsupervised loss ter,
"How does gradient back-propagation affect the optimization of deep neural models like DSPR, and what conclusion is drawn about its role in improving information flow in networks?",1611.07718v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,412,5,330.5,6.5e-05,I don't know.,,0,0,0,0,0,0.0,435,5,320.6,6.8e-05,I don't know.,,0,0,0,0,0,0.0,588,33,639.4,0.000108,I don't know. The provided text context and image descriptions do not mention gradient back-propagation or its effect on the optimization of deep neural models ,,0,0,0,0,0,0.0,615,40,1065.9,0.000116,"I don't know. The provided text context, knowledge-graph facts, and image descriptions do not contain information about gradient back-propagation or its effect ",
"How is dropout applied to non-recurrent connections in the r-LSTM model, and what dropout probability is used for non-recurrent connections in the LSTM cell?",1704.00774v3.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,442,5,306.1,6.9e-05,I don't know.,,0,0,1,0,0,0.0,453,5,557.6,7.1e-05,I don't know.,,0,0,1,0,0,0.0,644,26,646.4,0.000112,I don't know. The provided text context and image descriptions do not contain information about the r-LSTM model or dropout probability.,,0,0,1,0,0,0.0,659,5,378.8,0.000102,I don't know.,
"How are training and testing sets utilized in constructing noisy training targets, and what method is used to ensure a fair comparison in the performance evaluation of video datasets?",1803.05776v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,454,5,660.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,496,85,1758.6,0.000125,I don't know.   The provided context passages and knowledge-graph facts do not directly address how training and testing sets are utilized in constructing noisy,,0,0,0,0,0,0.0,607,114,1783.4,0.000159,I don't know. The provided text context and image descriptions do not contain information on how training and testing sets are utilized in constructing noisy tr,,0,0,0,0,0,0.0,653,136,1977.5,0.00018,I don't know.   The provided text context and knowledge-graph facts do not directly address how training and testing sets are utilized in constructing noisy tra,
"How are pre-trained word vectors utilized in the neural network model for embedding, and what challenges do they present when used with recurrent neural networks like BiLSTM?",1802.07459v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,463,51,825.4,0.0001,"I don't know. The provided context does not mention pre-trained word vectors, neural network model for embedding, or BiLSTM. It appears to be discussing image c",,0,0,0,0,0,0.0,501,76,1324.4,0.000121,"I don't know. The provided context passages and knowledge-graph facts do not contain information about pre-trained word vectors, their utilization in the neural",,0,0,0,0,0,0.0,630,35,861.7,0.000116,"I don't know. The provided text context and image descriptions do not mention pre-trained word vectors, neural network models for embedding, or recurrent neural",,0,0,0,0,0,0.0,672,5,886.7,0.000104,I don't know.,
"How does FALCON evaluate the relu activation function, and what network structure does the BASE model use that includes the relu activation function?",1811.08257v1.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,453,63,1199.9,0.000106,"I don't know. The provided context does not mention FALCON or the BASE model, nor does it discuss the relu activation function in a relevant manner. The texts a",,0,0,1,0,0,0.0,464,5,821.6,7.3e-05,I don't know.,,0,0,1,0,0,0.0,645,30,564.3,0.000115,I don't know. The provided text context and image descriptions do not contain information about FALCON or the BASE model's network structure and activation func,,0,0,1,0,0,0.0,660,38,1118.2,0.000122,I don't know. The provided text context and knowledge-graph facts do not contain information about FALCON or the BASE model's network structure. The image descr,
"How is the categorical distribution utilized in segmentation models, and what role does the categorical distribution play in determining attention probabilities?",1811.07073v3.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,452,27,480.6,8.4e-05,I don't know. The provided context does not mention the utilization of categorical distribution in segmentation models or its role in determining attention prob,,0,0,0,0,0,0.0,473,92,1839.1,0.000126,I don't know.   The provided context passages and knowledge-graph facts do not contain information about the utilization of categorical distribution in segmenta,,0,0,1,0,0,0.0,630,31,777.8,0.000113,I don't know. The provided text context and image descriptions do not mention the utilization of categorical distribution in segmentation models or its role in ,,0,0,1,0,0,0.0,655,55,1227.0,0.000131,I don't know. The provided text context and knowledge-graph facts do not discuss the utilization of categorical distribution in segmentation models or its role ,
"How does a mixture density network utilize LSTM layers for error signaling, and what role does the Cholesky Block play in estimating target distributions in relation to a mixture density network?",1603.03833v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,452,23,589.8,8.2e-05,"I don't know. The provided context does not mention mixture density networks, LSTM layers, or Cholesky Block.",,0,0,0,0,0,0.0,463,73,1264.9,0.000113,"I don't know.  The provided context passages and knowledge-graph facts do not contain information about mixture density networks, LSTM layers, error signaling, ",,0,0,0,0,0,0.0,641,29,692.1,0.000114,"I don't know. The provided text context and image descriptions do not contain information about mixture density networks, LSTM layers, or Cholesky Block.",,0,0,0,0,0,0.0,656,45,1640.5,0.000125,"I don't know. The provided text context and knowledge-graph facts do not contain information about mixture density networks, LSTM layers, or Cholesky Block. The",
"How does the VAGER model utilize a linear mapping function to relate embedding similarity to classification parameters, and what role does the linear mapping function $f_{fr}$ play in transforming input orthonormal matrices in the FRMap layers?",1710.06177v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,494,79,1638.3,0.000121,"I don't know.   The provided context does not mention the VAGER model or the FRMap layers, nor does it discuss a linear mapping function $f_{fr}$ or its role in",,0,0,1,0,0,0.0,513,43,1437.4,0.000103,"I don't know.   The provided context passages and knowledge-graph facts do not contain information about the VAGER model or the FRMap layers, so it's not possib",,0,0,0,0,0,0.0,684,77,2314.7,0.000149,"I don't know. The provided text context does not mention the VAGER model or the FRMap layers, nor does it describe a linear mapping function $f_{fr}$. The text ",,0,0,1,0,0,0.0,707,47,1223.3,0.000134,"I don't know. The provided text context and knowledge-graph facts do not mention the VAGER model or the FRMap layers, nor do the image descriptions. Therefore, ",
"What tasks are included in the unsupervised evaluation for Semantic Textual Similarity, and how is the correlation of cosine similarity utilized in the unsupervised evaluation for sentence similarity?",1809.02731v3.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,479,30,1105.2,9e-05,I don't know. The provided context does not mention the tasks included in the unsupervised evaluation for Semantic Textual Similarity or the correlation of cosi,,0,0,1,0,0,0.0,498,100,2282.6,0.000135,I don't know.   The provided context passages and knowledge-graph facts do not contain information about the tasks included in the unsupervised evaluation for S,,0,0,0,0,0,0.0,635,36,838.8,0.000117,I don't know. The provided text context and image descriptions do not contain information about the tasks included in the unsupervised evaluation for Semantic T,,0,0,0,0,0,0.0,658,5,660.3,0.000102,I don't know.,
"How have Recurrent Neural Networks (RNNs) been applied in time series forecasting, and what challenge does multivariate time series forecasting face regarding variable dependencies?",1706.03847v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,481,83,1926.2,0.000122,"I don't know. The provided context does not mention Recurrent Neural Networks (RNNs) or their application in time series forecasting. However, it does discuss o",,0,0,0,0,0,0.0,492,86,1899.7,0.000125,I don't know.   The provided context passages and knowledge-graph facts do not contain information about Recurrent Neural Networks (RNNs) or their application i,,0,0,0,0,0,0.0,647,127,2377.5,0.000173,I don't know. The provided text context does not mention Recurrent Neural Networks (RNNs) or their application in time series forecasting. It discusses other ma,,0,0,0,0,0,0.0,662,65,1660.7,0.000138,I don't know.   The provided text context does not mention Recurrent Neural Networks (RNNs) or their application in time series forecasting. The knowledge-graph,
"What challenges do ARIMA models face in high dimensional multivariate time series forecasting due to high computational cost, and how does the generative adversarial network (GAN) also relate to high computational cost in its performance of untargeted attacks?",1703.07015v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,403,38,1297.0,8.3e-05,"I don't know. The provided context does not mention ARIMA models or generative adversarial networks (GANs), nor does it discuss their relation to high computati",,0,0,0,0,0,0.0,420,82,2176.6,0.000112,"I don't know.  Reasoning: The provided context passages and knowledge-graph facts do not mention ARIMA models or generative adversarial networks (GANs), nor do ",,0,0,0,0,0,0.0,587,72,1260.6,0.000131,"I don't know. The provided text context and image descriptions do not mention ARIMA models or generative adversarial networks (GANs), nor do they discuss high-d",,0,0,0,0,0,0.0,608,70,1542.2,0.000133,"I don't know.   The provided text context and knowledge-graph facts do not mention ARIMA models or generative adversarial networks (GANs), nor do they discuss t",
"How does the performance on the unseen imagenet validation set relate to the construction of Imagenet-Random, and what role does the imagenet validation set play in the k-shot learning scenario?",1705.08016v3.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,455,53,1033.4,0.0001,I don't know. The provided context does not mention Imagenet-Random or its relation to the imagenet validation set in the k-shot learning scenario. The context ,,0,0,0,0,0,0.0,497,38,1063.9,9.7e-05,"I don't know. The provided context passages and knowledge-graph facts do not contain information about Imagenet-Random or the k-shot learning scenario, so I am ",,0,0,1,0,0,0.0,623,37,1223.5,0.000116,I don't know. The provided text context and image descriptions do not contain information about Imagenet-Random or its relation to the imagenet validation set i,,0,0,1,0,0,0.0,669,37,1613.6,0.000123,I don't know. The provided text context and knowledge-graph facts do not contain information about Imagenet-Random or the k-shot learning scenario in relation t,
"How does the attention-based listwise loss improve model efficiency compared to traditional listwise loss functions, and what issue do the new family of listwise loss functions aim to address regarding the gradients of negative samples?",1804.05936v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,493,5,295.8,7.7e-05,I don't know.,,0,0,0,0,0,0.0,509,73,2216.5,0.00012,I don't know.   The provided context passages and knowledge-graph facts do not contain information about attention-based listwise loss or traditional listwise l,,0,0,0,0,0,0.0,703,42,997.7,0.000131,I don't know. The provided text context and image descriptions do not contain information about attention-based listwise loss or traditional listwise loss funct,,0,0,0,0,0,0.0,723,43,1448.5,0.000134,I don't know. The provided text context and knowledge-graph facts do not contain information about attention-based listwise loss or its comparison to traditiona,
"How is one convolutional layer utilized in feature encoding with residual blocks, and what role does one convolutional layer play in generating a fixed-length vector in a basic CNN model?",1706.04284v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,505,5,379.0,7.9e-05,I don't know.,,0,0,0,0,0,0.0,516,5,635.3,8e-05,I don't know.,,0,0,0,0,0,0.0,698,89,1152.1,0.000158,I don't know. The provided text context does not discuss the utilization of convolutional layers with residual blocks or the role of a convolutional layer in ge,,0,0,1,0,0,0.0,713,74,1338.2,0.000151,I don't know. The provided text context and knowledge-graph facts do not contain information about how one convolutional layer is utilized in feature encoding w,
"How is reconstruction accuracy measured in shape-from-silhouette, and what does Factorize-Recover achieve in terms of reconstruction accuracy when applied to compressed data?",1812.00281v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,539,21,807.3,9.3e-05,I don't know. The provided context does not mention shape-from-silhouette or Factorize-Recover.,,0,0,0,0,0,0.0,567,81,1925.9,0.000134,I don't know.   The provided context passages and knowledge-graph facts do not contain information about shape-from-silhouette or Factorize-Recover. The passage,,0,0,0,0,0,0.0,792,22,537.1,0.000132,I don't know. The provided text context does not mention shape-from-silhouette or Factorize-Recover.,,0,0,0,0,0,0.0,824,5,871.7,0.000127,I don't know.,
"What benefits do element-wise operations provide in handling large data, and how do they contribute to better GPU utilization in the SRU model?",1803.04572v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,450,5,554.4,7.1e-05,I don't know.,,0,0,0,0,0,0.0,461,37,1613.5,9.1e-05,"I don't know.   The provided context passages and knowledge-graph facts do not contain information about element-wise operations or the SRU model, so I am unabl",,0,0,1,0,0,0.0,619,24,555.8,0.000107,I don't know. The provided text context and image descriptions do not mention element-wise operations or the SRU model.,,0,0,0,0,0,0.0,634,5,736.3,9.8e-05,I don't know.,
"What efficient protocols does SecureML propose for training machine learning models, and how are graphs utilized in regularizing machine learning models?",1811.08257v1.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,478,49,834.5,0.000101,I don't know. The provided context does not mention SecureML or its proposed protocols for training machine learning models. It appears to be discussing various,,0,0,0,0,0,0.0,489,68,2004.5,0.000114,I don't know.   The provided context passages and knowledge-graph facts do not contain information about SecureML or its proposed protocols for training machine,,0,0,1,0,0,0.0,637,54,1412.4,0.000128,"I don't know. The provided text context does not mention SecureML or its proposed protocols for training machine learning models. However, it does discuss the u",,0,0,0,0,0,0.0,652,50,1776.5,0.000128,I don't know. The provided text context and image descriptions do not mention SecureML or its proposed protocols for training machine learning models. The text ,
"How does the curse of dimensionality affect the feasibility of word embeddings in optimization problems, and what challenges does it pose when taking photos of geometric objects under varying conditions?",1803.01128v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,460,43,1432.8,9.5e-05,I don't know. The provided context doesn't mention the curse of dimensionality or its relation to word embeddings or taking photos of geometric objects. It appe,,0,0,0,0,0,0.0,476,73,1453.4,0.000115,I don't know. The provided context passages and knowledge-graph facts do not discuss the curse of dimensionality or its relation to word embeddings or taking ph,,0,0,0,0,0,0.0,636,57,1243.9,0.00013,I don't know. The provided text context and image descriptions do not discuss the curse of dimensionality in relation to word embeddings or taking photos of geo,,0,0,1,0,0,0.0,656,64,1591.4,0.000137,I don't know. The provided text context and knowledge-graph facts do not discuss the curse of dimensionality in relation to word embeddings or the challenges of,
"How does the concatenation of ID embedding and averaged word embedding provide more useful information for recommendation, and what is the relationship between higher entropy predictions and classification performance in θp?",1803.03467v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,517,76,1453.9,0.000123,I don't know. The provided context does not mention the concatenation of ID embedding and averaged word embedding or the relationship between higher entropy pre,,0,0,0,0,0,0.0,560,75,2778.0,0.000129,I don't know.   The provided context passages and knowledge-graph facts do not contain information about the concatenation of ID embedding and averaged word emb,,0,0,0,0,0,0.0,703,106,2312.1,0.000169,I don't know. The provided text context and image descriptions do not contain information about the concatenation of ID embedding and averaged word embedding or,,0,0,0,0,0,0.0,750,76,1703.1,0.000158,"Unfortunately, the provided text context and knowledge-graph facts do not contain information about the concatenation of ID embedding and averaged word embeddin",
"How does the accuracy of positional information from a Kinect sensor affect object manipulation, and what role does positional information play in extracting inter-word semantic connections in a MRC model?",1603.03833v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,498,5,335.4,7.8e-05,I don't know.,,0,0,0,0,0,0.0,509,82,2818.4,0.000126,I don't know.   The provided context passages and knowledge-graph facts do not contain information related to the accuracy of positional information from a Kine,,0,0,1,0,0,0.0,657,47,1284.8,0.000127,"I don't know. The provided text context and image descriptions do not mention the Kinect sensor or its accuracy in object manipulation, nor do they discuss the ",,0,0,1,0,0,0.0,672,55,3852.6,0.000134,I don't know. The provided text context and image descriptions do not contain information about the accuracy of positional information from a Kinect sensor or i,
