question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014_S_S.txt|Winner_band.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,397,39,685.9,8.3e-05,"YG Entertainment. According to the context, 2014 S/S is the debut album of South Korean group WINNER, and it was released by the group's record label, YG Entert",,1,1,1,0.5,0,1.0,485,56,1769.4,0.000106,"According to the context passage [2014_S_S.txt], 2014 S/S is the debut album of South Korean group WINNER, and it was released by YG Entertainment. Therefore, W",,1,1,1,0.5,0,1.0,553,39,1196.3,0.000106,"YG Entertainment. According to the context, 2014 S/S is the debut album of South Korean group WINNER, and it was released by the group's record label, YG Entert",
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",I_Don_t_Wanna_Know.txt|Yeah!_Usher_song.txt,hotpot_bridge,llama4-maverick,0,0,0,0.5,0,1.0,279,39,786.6,6.5e-05,"I don't know. The provided context doesn't mention the album ""Confessions"" or its lead single. It talks about different songs and artists, but none related to t",,0,0,0,0.5,0,1.0,325,224,2395.1,0.000183,"Based on the provided context and knowledge-graph facts, I can infer the following:  1. The song ""Can't Touch It"" was released as the lead single (fact: ""can't ",,1,0,1,1.0,1,1.0,560,187,2022.0,0.000196,"The singer is Usher. According to the context, ""Yeah!"" is the song by Usher that was released as the lead single from the album ""Confessions"". Although the cont",
Which American film director hosted the 18th Independent Spirit Awards in 2002?,18th_Independent_Spirit_Awards.txt|John_Waters.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,294,42,501.1,6.9e-05,"The 18th Independent Spirit Awards took place in 2003, honoring the best in independent filmmaking for 2002. It was hosted by John Waters, who is an American fi",,1,1,1,0.5,0,1.0,305,59,1364.1,8.1e-05,"According to the context passage [18th_Independent_Spirit_Awards.txt], the 2003 ceremony (honoring the best in independent filmmaking for 2002) was hosted by Jo",,1,0,1,0.5,0,1.0,482,36,731.2,9.4e-05,"The 18th Independent Spirit Awards, honoring the best in independent filmmaking for 2002, were hosted by John Waters. John Waters is an American film director.",
What is the nickname of the city where Darling's Waterfront Pavilion is located?,Bangor_Maine.txt|Darling_s_Waterfront_Pavilion.txt,hotpot_bridge,llama4-maverick,1,0,1,0.5,0,1.0,276,43,642.2,6.7e-05,"The text doesn't mention a nickname for the city of Bangor, Maine. It only mentions that Darling's Waterfront Pavilion is located within the Waterfront Park in ",,0,1,1,0.5,0,1.0,354,56,886.1,8.7e-05,"The context passages and knowledge-graph facts don't provide the nickname of the city where Darling's Waterfront Pavilion is located. However, the context passa",,0,0,1,0.5,0,1.0,527,34,578.9,9.9e-05,"The text does not provide the nickname of the city. It only mentions that Darling's Waterfront Pavilion is located in Bangor, Maine. I don't know.",
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten-Windsor.txt|Mountbatten_family.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,389,69,781.4,0.0001,"The Mountbatten family. According to the context, ""Mountbatten-Windsor"" is the personal surname used by the male-line descendants of Queen Elizabeth II and Prin",,1,0,1,1.0,1,1.0,449,47,832.3,9.6e-05,"The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles, and the Mountbatten family is a European dynasty. ",,1,1,1,1.0,1,1.0,645,63,733.0,0.000135,"The Mountbatten family. According to the context, the Mountbatten family is a European dynasty originating as a branch of the German princely Battenberg family,",
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George_Raft.txt|Johnny_Angel.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,290,14,447.5,5.2e-05,George Raft starred in the 1945 film Johnny Angel.,,1,1,1,0.5,0,1.0,381,9,1597.7,6.3e-05,George Raft stars in Johnny Angel.,,1,1,1,1.0,1,1.0,577,23,449.3,0.0001,George Raft starred in the 1945 film Johnny Angel. He was an American film actor and dancer.,
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea_College.txt|James_Fieser.txt,hotpot_bridge,llama4-maverick,1,0,1,0.5,0,1.0,300,66,963.2,8.5e-05,"Berea College. According to the context, James Fieser received his B.A. from Berea College, and Berea College is indeed a liberal arts college as it is mentione",,1,1,1,0.5,0,1.0,422,110,1261.8,0.000129,"Berea College. According to the context passage [James_Fieser.txt], James Fieser received his B.A. from Berea College. Additionally, Berea College is a liberal ",,1,1,1,1.0,1,1.0,511,42,566.0,0.000102,"Berea College. According to the context, James Fieser received his B.A. from Berea College, and Berea College is a liberal arts work college that was founded in",
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena_of_Khazan.txt|Tunnels_&amp;_Trolls.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,267,32,825.5,5.9e-05,"Arena of Khazan. It is mentioned as a 1979 role-playing game adventure for ""Tunnels & Trolls"" published by Flying Buffalo.",,1,1,1,1.0,1,1.0,286,85,1037.6,9.4e-05,Arena of Khazan.   Reasoning: The knowledge-graph fact states that Ken St. Andre designed Tunnels & Trolls. The context passage [Arena_of_Khazan.txt] states tha,,1,1,1,1.0,1,1.0,404,53,701.9,9.2e-05,"One of the adventures for ""Tunnels & Trolls"" is ""Arena of Khazan"", published by Flying Buffalo in 1979. There is also a related title, ""Crusaders of Khazan"", wh",
"What year was the film that starred the composer for ""The Naked Brothers Band""?",Nat_Wolff.txt|The_Fault_in_Our_Stars_film.txt,hotpot_bridge,llama4-maverick,0,0,1,0.0,0,0.0,347,46,620.5,8e-05,"I don't know. The context doesn't mention a film starring the composer for ""The Naked Brothers Band"". It only mentions that the series was created by Polly Drap",,0,0,1,0.0,0,0.0,417,31,1922.2,8.1e-05,The Naked Brothers Band was created by Polly Draper. I don't have information on a film starring Polly Draper. I don't know.,,0,0,1,0.0,0,0.0,546,186,2211.1,0.000193,"The composer for ""The Naked Brothers Band"" is Alexander ""Alex"" Draper Wolff. According to the text, he starred in ""The Naked Brothers Band"" television series fr",
When was the palace founded at which Columba de Dunbar died in 1435?,Columba_de_Dunbar.txt|Spynie_Palace.txt,hotpot_bridge,llama4-maverick,0,1,1,0.5,0,1.0,334,33,431.7,7e-05,"I don't know. The context doesn't mention when Spynie Palace was founded, only that Columba de Dunbar died there before 7 November 1435.",,1,0,1,0.5,0,1.0,396,40,692.5,8.3e-05,"You don't know when Spynie Palace was founded. The context passages only mention that Columba de Dunbar died at Spynie Palace, but they don't provide informatio",,1,0,1,1.0,1,1.0,438,50,2369.7,9.6e-05,"You don't know the founding date of Spynie Palace, as the provided context only mentions that it appeared in the Registry of Moray in a writ of 1524, which is a",
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,Frank_Thomas_Big_Hurt.txt|Frank_Thomas_designated_hitter.txt,hotpot_bridge,llama4-maverick,0,0,0,0.5,0,0.333,379,5,1404.3,6e-05,I don't know.,,0,0,0,0.5,0,0.333,428,5,562.8,6.7e-05,I don't know.,,0,0,0,0.5,0,0.333,629,5,566.1,9.7e-05,I don't know.,
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,Henry_III_of_France.txt|Jean_Baptiste_Androuet_du_Cerceau.txt,hotpot_bridge,llama4-maverick,0,0,1,0.0,0,0.0,302,5,255.1,4.8e-05,I don't know.,,0,0,1,0.0,0,0.0,366,5,548.7,5.8e-05,I don't know.,,1,1,1,0.5,0,0.2,561,71,1708.1,0.000127,"Henri III was King of the Polish-Lithuanian Commonwealth from 1573 to 1575. According to the text, Jean Baptiste Androuet du Cerceau became supervisor of the ro",
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Bobbi_Bacha.txt|Sela_Ward.txt,hotpot_bridge,llama4-maverick,0,1,1,0.5,0,1.0,288,34,907.1,6.4e-05,The actress who plays Bobbi Bacha in Suburban Madness is Sela Ward. I don't know her middle name as it is not mentioned in the provided context.,,0,0,1,0.5,0,1.0,391,61,1063.9,9.5e-05,"The knowledge-graph fact states that ""sela ward played bobbi bacha"". So, the actress who plays Bobbi Bacha is Sela Ward. However, there is no information about ",,0,1,1,0.5,0,1.0,421,33,1988.2,8.3e-05,"The actress who plays Bobbi Bacha in Suburban Madness is Sela Ward. According to the context, I don't know Sela Ward's middle name.",
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",I&quot;s.txt|Masakazu_Katsura.txt,hotpot_bridge,llama4-maverick,0,1,1,0.5,0,1.0,467,42,685.4,9.5e-05,"The manga series is ""I""s"" and it is written and illustrated by Masakazu Katsura. However, the context doesn't provide Masakazu Katsura's birth year, so I don't ",,1,0,1,0.5,0,1.0,548,124,1318.4,0.000157,"To determine the birth year of the person who wrote and illustrated the Japanese manga series based on a 16-year-old high school student Ichitaka Seto, we need ",,0,1,1,0.5,0,1.0,747,42,1065.7,0.000137,"The manga series is ""I""s"" and it is written and illustrated by Masakazu Katsura. However, the context doesn't provide Masakazu Katsura's birth year, so I don't ",
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",Harry_Connick_Jr..txt|When_Harry_Met_Sally..._soundtrack.txt,hotpot_bridge,llama4-maverick,0,0,1,0.5,0,1.0,290,5,237.5,4.6e-05,I don't know.,,0,0,1,0.5,0,1.0,327,54,761.8,8.1e-05,I don't know.   The context passages and knowledge-graph facts don't provide information about the number of top 20 US albums by Harry Connick Jr. They only men,,1,0,1,0.5,0,1.0,468,39,863.0,9.4e-05,"I don't know. The context only mentions that the soundtrack features Harry Connick Jr. and that he won a Grammy Award, but it doesn't provide information about ",
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Beverly_Marshall.txt|Ramsay_Street.txt,hotpot_bridge,llama4-maverick,1,0,1,1.0,1,1.0,388,32,698.1,7.7e-05,"Erinsborough. The character Beverly Marshall is from the Australian soap opera ""Neighbours"", which is set in the fictional Melbourne suburb of Erinsborough.",,1,1,1,1.0,1,1.0,489,27,601.0,9e-05,"The soap opera ""Neighbours"", which features the character Beverly Marshall, is set in the fictional Melbourne suburb of Erinsborough.",,1,1,1,1.0,1,1.0,605,28,9473.2,0.000108,"The soap opera ""Neighbours"", which features a character named Beverly Marshall, is set in the fictional Melbourne suburb of Erinsborough.",
Chris Williams last played for which football club from the National League North?,Chris_Williams_English_footballer.txt|Salford_City_F.C..txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,267,30,450.3,5.8e-05,"I don't know. The text states that Chris Williams last played for Salford City, but it doesn't mention which league Salford City is in.",,1,0,1,0.5,0,1.0,372,178,1956.3,0.000163,"According to the context passage, Chris Williams last played for Salford City. To determine if Salford City is from the National League North, we need to check ",,1,1,1,1.0,1,1.0,424,30,748.8,8.2e-05,"Salford City. According to the context, Chris Williams last played for Salford City, and Salford City plays in the National League North.",
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,199293_Charlotte_Hornets_season_5737e5.txt|Muggsy_Bogues.txt,hotpot_bridge,llama4-maverick,0,0,0,0.5,0,1.0,267,5,296.1,4.3e-05,I don't know.,,0,0,0,0.5,0,1.0,353,5,664.8,5.6e-05,I don't know.,,1,0,1,1.0,1,1.0,509,103,1669.2,0.000138,Muggsy Bogues was a member of the Charlotte Hornets during their 1992-93 season and was the coach of the WNBA team Charlotte Sting. The distinction held by him ,
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",Bruce_Spizer.txt|The_Beatles.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,321,75,892.2,9.3e-05,"According to the context, Bruce Spizer is an expert on The Beatles. However, it is Joel Whitburn who declared Elvis Presley the ""#1 act of the Rock era"", not Br",,0,0,1,0.5,0,1.0,332,106,1491.9,0.000113,"According to the context passages, Bruce Spizer is an expert on The Beatles. However, it is actually Joel Whitburn who declared Elvis Presley the ""#1 act of the",,1,1,1,0.5,0,1.0,571,37,883.7,0.000108,"The Beatles. According to the context, Bruce Spizer is recognized as an expert on The Beatles, who are widely regarded as the foremost and most influential act ",
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",Ellie_Kemper.txt|Kimmy_Schmidt.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,308,44,564.1,7.3e-05,"Kimmy Schmidt. According to the context, Ellie Kemper (Elizabeth Claire Kemper) is known for playing the title role of Kimmy Schmidt in the Netflix comedy serie",,1,1,1,1.0,1,1.0,431,69,1241.3,0.000106,"Kimmy Schmidt. According to the knowledge-graph facts, Elizabeth Claire Kemper was cast in the Netflix series 'Unbreakable Kimmy Schmidt', and the context passa",,1,1,1,1.0,1,1.0,529,43,958.1,0.000105,"Kimmy Schmidt. According to the context, Ellie Kemper (Elizabeth Claire Kemper) is known for playing the title role of Kimmy Schmidt in the Netflix series ""Unbr",
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro_Mexia.txt|Indigenous_peoples_of_Florida.txt,hotpot_bridge,llama4-maverick,0,1,1,0.5,0,1.0,302,53,682.2,7.7e-05,"According to the context, Alvaro Mexia had a diplomatic mission with the Ais native population, who lived south of St. Augustine and in the Cape Canaveral area.",,1,1,1,0.5,0,1.0,372,63,710.2,9.4e-05,Alvaro Mexia was given a diplomatic mission to the native populations living south of St. Augustine and in the Cape Canaveral area. The passage specifically men,,0,1,1,0.5,0,1.0,499,46,662.1,0.000102,"Alvaro Mexia had a diplomatic mission with the Ais native population, who lived south of St. Augustine and in the Cape Canaveral area, resulting in a ""Period of",
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",Baltimore_Orioles.txt|Wayne_Garland.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,381,73,1295.7,0.000101,"1901. The team is the Baltimore Orioles. According to the context, Marcus Wayne Garland spent nine seasons in Major League Baseball with the Baltimore Orioles (",,1,1,1,1.0,1,1.0,487,51,838.8,0.000104,"The American League was established in 1901, and the Baltimore Orioles, the team Marcus Wayne Garland played for from 1973 to 1976, are one of the original eigh",,1,1,1,1.0,1,1.0,584,66,2675.7,0.000127,"1901. According to the context, Marcus Wayne Garland spent nine seasons in Major League Baseball with the Baltimore Orioles (1973–1976) and Cleveland Indians (1",
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand_lamp.txt|Lewis_lamp.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,314,56,728.0,8.1e-05,"The Argand lamp. According to the context, the Lewis lamp used a similar design to an Argand lamp, and the Argand variant became widely used by European lightho",,1,1,1,1.0,1,1.0,353,59,717.6,8.8e-05,"The Argand lamp was patented in 1780 by Aimé Argand. The Lewis lamp, which is used in lighthouses, is similar to the Argand lamp, as it used a similar design an",,1,1,1,1.0,1,1.0,413,37,793.0,8.4e-05,"The Argand lamp. The text states that ""The lamp used a similar design to an Argand lamp"" when describing the Lewis lamp, which was used in lighthouses.",
What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar_Khadr.txt|Son_of_al_Qaeda.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,339,32,1296.8,7e-05,"The character, Omar Khadr, received a $10.5 million (USD 8 million) payment as part of a settlement in 2017.",,1,1,1,0.5,0,1.0,365,51,766.9,8.5e-05,"The settlement amount was $10.5 million. Omar Khadr, the individual in question, received this amount in 2017 as part of a lawsuit settlement with the Canadian ",,1,1,1,0.5,0,1.0,510,90,1069.2,0.000131,"$10.5 million. The context mentions that Omar Khadr, a Canadian citizen who was detained by the United States at Guantanamo Bay, sued the Canadian government an",
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,2014_FIFA_World_Cup.txt|Algeria_at_the_FIFA_World_Cup.txt,hotpot_bridge,llama4-maverick,0,0,1,0.5,0,1.0,262,73,768.8,8.3e-05,"The text does not directly state where the World Cup was hosted when Algeria qualified for the first time into the round of 16. However, it is mentioned that Al",,1,0,1,0.5,0,1.0,371,127,1672.1,0.000132,"According to the context passage [Algeria_at_the_FIFA_World_Cup.txt], Algeria qualified for the first time into the round of 16 in 2014. The knowledge-graph fac",,0,1,1,0.5,0,1.0,509,81,1163.9,0.000125,"The text does not directly state where the World Cup was hosted when Algeria qualified for the first time into the round of 16. However, it is mentioned that Al",
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",American_Airlines_Shuttle.txt|Logan_International_Airport.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,326,37,572.3,7.1e-05,Logan International Airport in Boston is the airport serviced by American Airlines Shuttle and is also the largest airport in the New England region and 17th bu,,1,0,1,1.0,1,1.0,426,98,1383.1,0.000123,"Based on the provided context, the answer is Logan International Airport. The context states that American Airlines Shuttle serves Logan International Airport, ",,1,1,1,1.0,1,1.0,506,37,1160.0,9.8e-05,Logan International Airport in Boston is the airport serviced by American Airlines Shuttle and is also the largest airport in the New England region and 17th bu,
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Moroccan_Ambassador_to_China.txt|Rabat.txt,hotpot_bridge,llama4-maverick,1,0,1,1.0,1,1.0,230,84,931.1,8.5e-05,"The text doesn't directly state that there is an ambassador of the Rabat-Salé-Kénitra administrative region to China. However, it is mentioned that Rabat is the",,1,1,1,1.0,1,1.0,303,129,2228.1,0.000123,"The question is asking about the ambassador of the ""Rabat-Salé-Kénitra administrative region"" to China. However, according to the context passage ""The Moroccan ",,1,1,1,1.0,1,1.0,425,102,2248.0,0.000125,"The text does not directly mention an ""ambassador of the Rabat-Salé-Kénitra administrative region to China."" However, it does state that ""The Moroccan ambassado",
Alice David is the voice of Lara Croft in a video game developed by which company ?,Alice_David.txt|Tomb_Raider_2013_video_game.txt,hotpot_bridge,llama4-maverick,0,0,0,0.0,0,0.0,408,5,329.1,6.4e-05,I don't know.,,0,0,0,0.0,0,0.0,518,73,1081.8,0.000121,You don't know.   Reasoning: There is no information in the provided context or knowledge-graph facts about Alice David being the voice of Lara Croft or the com,,0,1,1,0.5,0,0.2,517,130,3002.3,0.000156,"According to the context, Alice David is the voice of the French dub of Lara Croft in the video game ""Tomb Raider"". The context doesn't directly state which com",
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,America_East_Conference.txt|Vermont_Catamounts_men_s_soccer.txt,hotpot_bridge,llama4-maverick,1,0,1,0.5,0,1.0,362,107,1055.2,0.000119,"The America East Conference, which the Vermont Catamounts men's soccer team competes in, was formerly known as the ECAC North from 1984 (or possibly earlier) bu",,1,0,1,0.5,0,1.0,478,53,707.2,0.000103,"The Vermont Catamounts men's soccer team competes in the America East Conference. According to available information, the America East Conference was formerly k",,0,0,1,0.5,0,1.0,612,41,677.5,0.000116,"I don't know. The provided context only states that the Vermont Catamounts men's soccer team competes in the America East Conference, but it doesn't mention the",
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Dim_Gray_Bar_Press.txt|Wendell_Berry.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,364,25,442.2,7e-05,Wendell Berry was inducted into the Kentucky Writers Hall of Fame and had works published by Dim Gray Bar Press.,,1,1,1,1.0,1,1.0,430,142,2043.0,0.00015,"Based on the provided context and knowledge-graph facts, we can determine that Wendell Berry is the Kentucky Writers Hall of Fame author who has had works publi",,1,1,1,1.0,1,1.0,590,25,728.3,0.000103,Wendell Berry was inducted into the Kentucky Writers Hall of Fame and had works published by Dim Gray Bar Press.,
