question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error
"What is the value in the [m, n] column for variable V₂?",1705.02946v3-Figure6-1.png,figure,llama4-scout,1,0,1,0,0,0.0,666,5,704.3,5.5e-05,I don't know.,,1,0,1,0,0,0.0,672,5,1496.4,5.5e-05,I don't know.,
"At a budget of 1×10^9 FLOPS on CIFAR100, what is the approximate test error rate for the EANN+CONST method?",1708.06832v3-Figure5-1.png,figure,llama4-scout,0,0,0,0,0,0.0,486,5,974.2,4e-05,I don't know.,,0,0,0,1,1,0.2,492,5,630.5,4.1e-05,I don't know.,
What is the average input length in words for the Multi30K dataset?,1803.01128v3-Table2-1.png,figure,llama4-scout,1,1,1,0,0,0.0,464,18,1177.0,4.3e-05,The average input length for the Multi30k dataset is 11.5 words.,,1,0,1,0,0,0.0,470,18,1473.5,4.3e-05,The average input length for the Multi30k dataset is 11.5 words.,
What is the accuracy of the Semantic self-supervision method on the Flickr30k dataset?,1803.06506v3-Table2-1.png,figure,llama4-scout,0,0,0,0,0,0.0,414,5,786.5,3.5e-05,I don't know.,,0,0,1,0,0,0.0,420,61,991.3,5.2e-05,I don't know. The text doesn't provide the accuracy of the Semantic self-supervision method on the Flickr30k dataset. It only mentions that the model outperform,
"In the 80% Random Shuffle condition, what is the approximate final accuracy achieved by the CNN+Mixup (train) method after 300 epochs?",1805.06431v4-Figure14-1.png,figure,llama4-scout,0,0,0,0,0,0.0,480,5,757.0,4e-05,I don't know.,,0,0,0,0,0,0.0,486,5,415.1,4e-05,I don't know.,
What is the performance of SPDNet on the PaSC1 dataset?,1611.05742v3-Table1-1.png,figure,llama4-scout,0,0,0,0,0,0.0,612,5,992.7,5e-05,I don't know.,,0,0,0,0,0,0.0,618,5,445.1,5.1e-05,I don't know.,
What notation is used to denote the extraction of the diagonal elements from a matrix Y?,1803.04572v2-Table2-1.png,figure,llama4-scout,1,0,1,0,0,0.0,632,21,1547.2,5.7e-05,I don't know. The provided context does not mention the extraction of diagonal elements from a matrix Y.,,0,0,1,0,0,0.0,638,23,700.1,5.8e-05,I don't know. The provided text context does not mention the notation for extracting diagonal elements from a matrix Y.,
What is the radio duty cycle percentage for CoAP with batching enabled?,1811.02721v3-Figure9-1.png,figure,llama4-scout,0,0,1,0,0,0.0,402,5,853.7,3.4e-05,I don't know.,,0,0,1,1,1,1.0,408,5,495.4,3.4e-05,I don't know.,
"At β² = 1.0, what is the approximate difference in performance between Precision and Recall?",1805.07567v2-Figure6-1.png,figure,llama4-scout,0,0,1,0,0,0.0,566,34,1305.7,5.5e-05,"When β² = 1.0, the equation becomes equal consideration on precision and recall. Therefore, I don't know the difference in performance between Precision and Rec",,0,0,1,0,0,0.0,572,62,1735.4,6.4e-05,"The provided text does not mention the specific performance values of Precision and Recall at β² = 1.0. However, it does state that when β² = 1, there is an equ",
How many basis functions are required for the CHOA algorithm at R=40?,1803.04572v2-Table4-1.png,figure,llama4-scout,0,1,1,0,0,0.0,451,35,1884.2,4.7e-05,"The number of basis functions required is not mentioned for R=40. However, it is mentioned that the number of basis functions was set to 7 for the algorithm.",,0,0,1,1,1,1.0,457,71,2187.6,5.8e-05,The text context does not provide information on the number of basis functions required for the CHOA algorithm at R=40. The text only mentions that the number o,
"In the optical flow visualization for the highway scene, which method produces output with the most prominent cyan-colored flow vectors in the lower left region?",1802.07351v2-Figure10-1.png,figure,llama4-scout,0,0,1,0,0,0.0,482,5,1514.0,4e-05,I don't know.,,0,0,1,0,0,0.0,488,5,631.7,4.1e-05,I don't know.,
What is the Overall performance score for the UnCoRD-VG-E method?,1811.08481v2-Table7-1.png,figure,llama4-scout,0,0,1,0,0,0.0,412,5,1477.8,3.4e-05,I don't know.,,0,0,1,1,1,0.2,418,28,1012.8,4.2e-05,"I don't know. The provided text context does not mention the ""UnCoRD-VG-E method"" or its overall performance score.",
"What two cities are listed as census-designated places in Santa Clara County, California?",1804.05995v2-Figure3-1.png,figure,llama4-scout,0,0,1,0,0,0.0,409,5,1188.7,3.4e-05,I don't know.,,0,0,1,1,1,1.0,415,5,535.0,3.5e-05,I don't know.,
"At epoch 60, what is the approximate value of Rs Loss (dashed red line)?",1812.10735v2-Figure5-1.png,figure,llama4-scout,1,0,1,0,0,0.0,632,5,917.5,5.2e-05,I don't know.,,1,0,1,1,1,1.0,638,5,630.1,5.3e-05,I don't know.,
What is the accuracy percentage of the MiniONN model on the CIFAR-10 dataset?,1811.08257v1-Table6-1.png,figure,llama4-scout,0,0,1,0,0,0.0,465,5,739.0,3.9e-05,I don't know.,,0,0,1,1,1,0.5,471,5,6041.6,3.9e-05,I don't know.,
What is the F1 score achieved by CIG-Sim&Siam-GCN-BERT^η on the CNSS dataset?,1802.07459v2-Table2-1.png,figure,llama4-scout,0,0,1,0,0,0.0,458,5,940.5,3.8e-05,I don't know.,,0,0,1,1,1,1.0,464,5,875.6,3.9e-05,I don't know.,
What is the transmission ratio with BP+RR for the GCounter-Tree benchmark using the Delta-based approach?,1803.02750v3-Figure7-1.png,figure,llama4-scout,0,0,0,0,0,0.0,614,5,836.0,5.1e-05,I don't know.,,0,0,0,1,1,1.0,620,5,479.7,5.1e-05,I don't know.,
What is the F1 score for ATAE-CAN-R_o on the Rest15 binary classification task?,1812.10735v2-Table2-1.png,figure,llama4-scout,0,0,1,0,0,0.0,495,5,822.4,4.1e-05,I don't know.,,0,0,1,1,1,0.2,501,5,428.0,4.2e-05,I don't know.,
"In the heat maps comparing original and reconstructed facial images, which reconstruction method produces the darkest (most black) heat map in the bottom right position?",1804.04786v3-Figure5-1.png,figure,llama4-scout,0,0,0,0,0,0.0,392,5,846.3,3.3e-05,I don't know.,,0,0,0,0,0,0.0,398,5,397.5,3.3e-05,I don't know.,
What is the AP₅₀ value when training on City data and testing on Non-City data?,1805.04687v2-Table13-1.png,figure,llama4-scout,0,0,0,0,0,0.0,389,5,746.1,3.3e-05,I don't know.,,0,0,0,1,1,1.0,395,5,582.3,3.3e-05,I don't know.,
"In the Collision Avoidance experiment, at 150 simulator calls, what is the approximate runtime in seconds for the Naive algorithm compared to ALOQ?",1605.07496v3-Figure6-1.png,figure,llama4-scout,0,0,0,0,0,0.0,395,5,787.9,3.3e-05,I don't know.,,0,0,0,1,1,1.0,401,5,700.5,3.4e-05,I don't know.,
How many subjects were used in the CMU pose (VGA) dataset?,1812.00281v3-Figure2-1.png,figure,llama4-scout,0,1,1,0,0,0.0,405,5,722.3,3.4e-05,I don't know.,,0,0,1,0,0,0.0,411,49,1000.1,4.8e-05,"I don't know. The provided text context does not mention the CMU pose (VGA) dataset or the number of subjects used in it. It does mention CMU Panoptic Studio, b",
