question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Which American film director hosted the 18th Independent Spirit Awards in 2002?,18th_Independent_Spirit_Awards.txt|John_Waters.txt,hotpot_bridge,gemini-flash-lite,1,0,1,0.5,0,1.0,316,3,624.5,3.3e-05,John Waters.,,1,0,1,0.5,0,1.0,331,12,563.0,3.8e-05,John Waters hosted the 18th Independent Spirit Awards.,,1,0,1,0.5,0,1.0,511,3,735.5,5.2e-05,John Waters.,
What is the nickname of the city where Darling's Waterfront Pavilion is located?,Bangor_Maine.txt|Darling_s_Waterfront_Pavilion.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,274,6,535.8,3e-05,I don't know.,,0,0,1,0.5,0,1.0,357,6,575.2,3.8e-05,I don't know.,,0,0,1,0.5,0,1.0,540,6,995.9,5.6e-05,I don't know.,
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten-Windsor.txt|Mountbatten_family.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,398,54,727.9,6.1e-05,"I don't know. The provided text does not state that the name ""Mountbatten-Windsor"" results in a European dynasty. It describes the Mountbatten family as a Europ",,1,1,1,1.0,1,1.0,464,38,661.1,6.2e-05,"The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles, which is a European dynasty resulting in the Mount",,0,0,0,1.0,1,1.0,660,6,536.9,6.8e-05,I don't know.,
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George_Raft.txt|Johnny_Angel.txt,hotpot_bridge,gemini-flash-lite,0,1,0,0.5,0,1.0,291,6,558.1,3.1e-05,I don't know.,,1,1,1,0.5,0,1.0,389,15,623.4,4.5e-05,George Raft starred in the 1945 film Johnny Angel.,,1,1,1,1.0,1,1.0,601,4,658.9,6.2e-05,George Raft.,
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea_College.txt|James_Fieser.txt,hotpot_bridge,gemini-flash-lite,0,1,1,0.5,0,1.0,306,6,545.2,3.3e-05,I don't know.,,0,1,1,0.5,0,1.0,431,6,493.6,4.6e-05,I don't know.,,1,1,1,1.0,1,1.0,526,4,640.5,5.4e-05,Berea College.,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena_of_Khazan.txt|Tunnels_&amp;_Trolls.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,278,24,634.1,3.7e-05,"The name of the adventure for ""Tunnels & Trolls"" provided in the context is ""Arena of Khazan"".",,1,1,1,1.0,1,1.0,299,19,651.1,3.8e-05,"The name of the adventure for ""Tunnels & Trolls"" is Arena of Khazan.",,1,1,1,1.0,1,1.0,427,24,658.1,5.2e-05,"The name of the adventure for ""Tunnels & Trolls"" provided in the context is ""Arena of Khazan"".",
"What year was the film that starred the composer for ""The Naked Brothers Band""?",Nat_Wolff.txt|The_Fault_in_Our_Stars_film.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.0,0,0.0,343,6,475.4,3.7e-05,I don't know.,,0,0,0,0.0,0,0.0,415,6,644.2,4.4e-05,I don't know.,,0,0,0,0.0,0,0.0,547,6,651.9,5.7e-05,I don't know.,
When was the palace founded at which Columba de Dunbar died in 1435?,Columba_de_Dunbar.txt|Spynie_Palace.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,344,6,480.7,3.7e-05,I don't know.,,0,0,1,0.5,0,1.0,415,6,563.1,4.4e-05,I don't know.,,0,0,1,1.0,1,1.0,462,6,631.4,4.9e-05,I don't know.,
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,Frank_Thomas_Big_Hurt.txt|Frank_Thomas_designated_hitter.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,0.333,426,6,558.5,4.5e-05,I don't know.,,0,0,0,0.5,0,0.333,478,6,766.0,5e-05,I don't know.,,0,0,0,0.5,0,0.333,706,6,564.0,7.3e-05,I don't know.,
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,Henry_III_of_France.txt|Jean_Baptiste_Androuet_du_Cerceau.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.0,0,0.0,321,6,424.1,3.4e-05,I don't know.,,0,0,1,0.0,0,0.0,384,6,495.0,4.1e-05,I don't know.,,0,0,1,0.5,0,0.2,593,6,660.7,6.2e-05,I don't know.,
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Bobbi_Bacha.txt|Sela_Ward.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,287,6,533.2,3.1e-05,I don't know.,,0,0,1,0.5,0,1.0,395,6,461.0,4.2e-05,I don't know.,,0,0,1,0.5,0,1.0,427,6,472.0,4.5e-05,I don't know.,
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",I&quot;s.txt|Masakazu_Katsura.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,495,6,518.9,5.2e-05,I don't know.,,0,0,0,0.5,0,1.0,581,6,645.0,6.1e-05,I don't know.,,0,0,0,0.5,0,1.0,786,6,577.4,8.1e-05,I don't know.,
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",Harry_Connick_Jr..txt|When_Harry_Met_Sally..._soundtrack.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,298,6,630.5,3.2e-05,I don't know.,,0,0,1,0.5,0,1.0,335,6,500.1,3.6e-05,I don't know.,,0,0,1,0.5,0,1.0,492,6,546.4,5.2e-05,I don't know.,
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Beverly_Marshall.txt|Ramsay_Street.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,392,13,528.2,4.4e-05,The soap opera is set in the suburb of Erinsborough.,,1,1,1,1.0,1,1.0,491,26,571.2,6e-05,"The soap opera ""Neighbours,"" which features the character Beverly Marshall, is set in the fictional Melbourne suburb of Erinsborough.",,1,1,1,1.0,1,1.0,612,16,503.7,6.8e-05,The soap opera featuring Beverly Marshall is set in the suburb of Erinsborough.,
Chris Williams last played for which football club from the National League North?,Chris_Williams_English_footballer.txt|Salford_City_F.C..txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,266,6,522.0,2.9e-05,I don't know.,,1,1,1,0.5,0,1.0,373,36,530.5,5.2e-05,"I don't know. The provided text states that Chris Williams last played for Salford City, but it does not specify whether Salford City is a club from the Nationa",,1,1,1,1.0,1,1.0,432,8,561.3,4.6e-05,Chris Williams last played for Salford City.,
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,199293_Charlotte_Hornets_season_5737e5.txt|Muggsy_Bogues.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,281,6,534.6,3.1e-05,I don't know.,,0,0,0,0.5,0,1.0,375,6,656.3,4e-05,I don't know.,,0,0,1,1.0,1,1.0,547,47,593.2,7.3e-05,The provided context does not state a specific distinction held by Muggsy Bogues other than that he was a member of the Charlotte Hornets during their 1992-93 s,
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",Bruce_Spizer.txt|The_Beatles.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,323,6,524.0,3.5e-05,I don't know.,,1,1,1,0.5,0,1.0,338,38,607.6,4.9e-05,"I don't know. According to the provided text, Bruce Spizer is an expert on The Beatles, while Joel Whitburn declared Elvis Presley the ""#1 act of the Rock era.""",,1,1,1,0.5,0,1.0,596,26,513.0,7e-05,"Bruce Spizer is an expert on The Beatles, who are widely regarded as the foremost and most influential act of the rock era.",
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",Ellie_Kemper.txt|Kimmy_Schmidt.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,312,16,708.4,3.8e-05,"Elizabeth Claire Kemper is known for playing the title character, Kimmy Schmidt.",,1,1,1,1.0,1,1.0,431,32,603.5,5.6e-05,"Elizabeth Claire Kemper is known for playing the title character, Kimberly Couger ""Kimmy"" Schmidt, in the Netflix series ""Unbreakable Kimmy Schmidt"".",,1,1,1,1.0,1,1.0,534,28,681.6,6.5e-05,"Elizabeth Claire Kemper is known for playing the title character, Kimmy Schmidt, in the Netflix comedy series ""Unbreakable Kimmy Schmidt"".",
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro_Mexia.txt|Indigenous_peoples_of_Florida.txt,hotpot_bridge,gemini-flash-lite,0,1,1,0.5,0,1.0,301,14,628.5,3.6e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,,0,1,1,0.5,0,1.0,375,14,558.5,4.3e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,,0,1,1,0.5,0,1.0,506,14,639.7,5.6e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",Baltimore_Orioles.txt|Wayne_Garland.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,405,11,468.1,4.5e-05,The league was established in 1901.,,1,1,1,1.0,1,1.0,515,17,2284.0,5.8e-05,The American League's eight charter franchises were established in 1901.,,1,1,1,1.0,1,1.0,638,36,583.7,7.8e-05,"Marcus Wayne Garland spent nine seasons with the Baltimore Orioles, which was one of the American League's original eight charter franchises when the league was",
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand_lamp.txt|Lewis_lamp.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,312,30,623.8,4.3e-05,"Yes, the Lewis lamp used a design similar to the Argand lamp, which was patented in 1780 by Aimé Argand.",,1,1,1,1.0,1,1.0,352,30,567.2,4.7e-05,"Yes, the Lewis lamp used a similar design to the Argand lamp, which was patented in 1780 by Aimé Argand.",,1,1,1,1.0,1,1.0,415,30,626.9,5.4e-05,"Yes, the Lewis lamp used a similar design to an Argand lamp, which was patented in 1780 by Aimé Argand.",
What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar_Khadr.txt|Son_of_al_Qaeda.txt,hotpot_bridge,gemini-flash-lite,1,1,1,0.5,0,1.0,349,15,515.8,4.1e-05,The settlement was $10.5 million (USD 8 million).,,1,1,1,0.5,0,1.0,379,15,574.8,4.4e-05,The settlement was $10.5 million (USD 8 million).,,1,1,1,0.5,0,1.0,530,15,676.0,5.9e-05,The settlement was $10.5 million (USD 8 million).,
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,2014_FIFA_World_Cup.txt|Algeria_at_the_FIFA_World_Cup.txt,hotpot_bridge,gemini-flash-lite,0,1,0,0.5,0,1.0,287,6,795.5,3.1e-05,I don't know.,,0,0,0,0.5,0,1.0,410,6,422.2,4.3e-05,I don't know.,,0,1,1,0.5,0,1.0,560,18,470.0,6.3e-05,The provided context does not state where the 2014 World Cup was hosted.,
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",American_Airlines_Shuttle.txt|Logan_International_Airport.txt,hotpot_bridge,gemini-flash-lite,1,0,1,1.0,1,1.0,341,4,489.8,3.6e-05,Logan International Airport.,,1,0,1,1.0,1,1.0,444,4,606.9,4.6e-05,Logan International Airport.,,1,0,1,1.0,1,1.0,541,4,474.4,5.6e-05,Logan International Airport.,
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Moroccan_Ambassador_to_China.txt|Rabat.txt,hotpot_bridge,gemini-flash-lite,0,0,0,1.0,1,1.0,233,6,446.1,2.6e-05,I don't know.,,0,0,1,1.0,1,1.0,315,43,513.1,4.9e-05,"I don't know. The provided text and facts state that the Moroccan ambassador to China is based in Beijing, but they do not mention an ambassador for the Rabat-S",,1,1,1,1.0,1,1.0,446,10,446.7,4.9e-05,The Moroccan ambassador to China is based in Beijing.,
Alice David is the voice of Lara Croft in a video game developed by which company ?,Alice_David.txt|Tomb_Raider_2013_video_game.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.0,0,0.0,400,6,519.4,4.2e-05,I don't know.,,0,0,0,0.0,0,0.0,515,6,499.3,5.4e-05,I don't know.,,0,1,1,0.5,0,0.2,521,44,499.4,7e-05,"I don't know. The provided context states that Alice David is the voice of the French dub of Lara Croft in the video game ""Tomb Raider,"" but it does not specify",
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,America_East_Conference.txt|Vermont_Catamounts_men_s_soccer.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,387,6,383.1,4.1e-05,I don't know.,,0,0,1,0.5,0,1.0,512,6,485.6,5.4e-05,I don't know.,,0,0,1,0.5,0,1.0,665,6,493.1,6.9e-05,I don't know.,
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Dim_Gray_Bar_Press.txt|Wendell_Berry.txt,hotpot_bridge,gemini-flash-lite,1,0,1,1.0,1,1.0,371,4,521.6,3.9e-05,Wendell Berry.,,1,0,1,1.0,1,1.0,443,4,574.3,4.6e-05,Wendell Berry.,,1,1,1,1.0,1,1.0,612,4,510.9,6.3e-05,Wendell Berry.,
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999_Odisha_cyclone.txt|Kathantara.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,416,6,531.4,4.4e-05,I don't know.,,0,0,0,0.5,0,1.0,448,6,398.4,4.7e-05,I don't know.,,0,0,0,0.5,0,1.0,663,6,379.2,6.9e-05,I don't know.,
Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia_University.txt|Ralph_Hefferline.txt,hotpot_bridge,gemini-flash-lite,1,1,1,0.5,0,1.0,225,20,815.0,3.1e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",,1,1,1,0.5,0,1.0,266,20,426.8,3.5e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",,1,1,1,0.5,0,1.0,385,20,436.6,4.7e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",
What year was the brother of this first round draft pick by the Washington Redskins drafted?,Boss_Bailey.txt|Champ_Bailey.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.0,0,0.0,340,6,440.7,3.6e-05,I don't know.,,0,0,1,0.0,0,0.0,426,6,387.4,4.5e-05,I don't know.,,0,1,1,0.5,0,0.25,526,6,428.7,5.5e-05,I don't know.,
What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige_O_Hara.txt|Something_There.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,367,6,398.2,3.9e-05,I don't know.,,0,0,1,0.5,0,1.0,450,6,392.7,4.7e-05,I don't know.,,0,0,1,0.5,0,1.0,614,6,453.3,6.4e-05,I don't know.,
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,Memphis_Hustle.txt|Southaven_Mississippi.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,342,6,337.9,3.7e-05,I don't know.,,0,0,0,0.5,0,1.0,431,6,556.1,4.6e-05,I don't know.,,0,1,0,1.0,1,1.0,513,6,479.3,5.4e-05,I don't know.,
The football manager who recruited David Beckham managed Manchester United during what timeframe?,199596_Manchester_United_F.C._season_3f9756.txt|Alex_Ferguson.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.0,0,0.0,358,6,480.1,3.8e-05,I don't know.,,0,0,0,0.0,0,0.0,426,6,510.6,4.5e-05,I don't know.,,1,1,1,1.0,1,0.25,507,19,464.1,5.8e-05,Sir Alex Ferguson managed Manchester United from 1986 to 2013.,
What major city is the Faith Lutheran Middle School and High School located by?,Faith_Lutheran_Middle_School_&amp;_High_School.txt|Summerlin_Nevada.txt,hotpot_bridge,gemini-flash-lite,1,1,1,0.5,0,0.333,344,13,424.6,4e-05,Faith Lutheran Middle School & High School is located by Las Vegas.,,1,1,1,0.5,0,0.333,359,20,455.2,4.4e-05,"Faith Lutheran Middle School & High School is located in Summerlin, which serves the Las Vegas Valley.",,1,1,1,0.5,0,0.333,566,24,1214.9,6.6e-05,"Faith Lutheran Middle School & High School is located in Summerlin, Clark County, Nevada, serving the Las Vegas Valley.",
Where did the descendants of the group of black Indians associated with the Seminole people settle?,Black_Seminoles.txt|Mascogos.txt,hotpot_bridge,gemini-flash-lite,1,1,1,0.5,0,1.0,349,12,613.5,4e-05,The descendants of the Black Seminoles settled in Spanish Florida.,,1,1,1,0.5,0,1.0,440,12,565.0,4.9e-05,The descendants of the Black Seminoles settled in Spanish Florida.,,1,1,1,0.5,0,1.0,579,16,443.2,6.4e-05,The Black Seminoles are associated with the Seminole people in Florida and Oklahoma.,
D1NZ is a series based on what oversteering technique?,D1NZ.txt|Drifting_motorsport.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,358,49,556.6,5.5e-05,"D1NZ is a series based on drifting, which is a driving technique where the driver intentionally oversteers, with loss of traction in the rear wheels or all tire",,1,1,1,1.0,1,1.0,394,49,502.8,5.9e-05,"D1NZ is a series based on drifting, which is a driving technique where the driver intentionally oversteers, with loss of traction in the rear wheels or all tire",,1,1,1,1.0,1,1.0,583,49,462.9,7.8e-05,"D1NZ is a series based on drifting, which is a driving technique where the driver intentionally oversteers, with loss of traction in the rear wheels or all tire",
What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,Addis_Ababa.txt|National_Archives_and_Library_of_Ethiopia.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,323,6,459.0,3.5e-05,I don't know.,,0,0,1,0.5,0,1.0,411,6,431.3,4.4e-05,I don't know.,,1,1,1,1.0,1,1.0,530,39,460.1,6.9e-05,"The population of Addis Ababa, where the National Archives and Library of Ethiopia is located, was 3,384,569 according to the 2007 population census.",
