question_type,question_set,model,system,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
multihop,questions_publaynet_multihop,llama4-scout,+both,711.0,82.5,1769.4,0.002449,0.0082
multihop,questions_publaynet_multihop,llama4-maverick,baseline,486.0,67.0,3063.0,0.003393,0.0113
multihop,questions_publaynet_multihop,llama4-maverick,+KG,536.0,106.7,4683.6,0.004332,0.0144
multihop,questions_publaynet_multihop,llama4-maverick,+multimodal,657.1,91.5,3666.6,0.004604,0.0153
multihop,questions_publaynet_multihop,llama4-maverick,+both,711.0,103.3,4248.7,0.00506,0.0169
figure,questions_publaynet_figures_caption,gpt4o-mini,baseline,449.6,30.7,1199.9,0.003004,0.0086
figure,questions_publaynet_figures_caption,gpt4o-mini,+KG,478.3,22.4,1021.7,0.002981,0.0085
figure,questions_publaynet_figures_caption,gpt4o-mini,+multimodal,9765.2,65.9,1987.0,0.05265,0.1504
figure,questions_publaynet_figures_caption,gpt4o-mini,+both,9797.9,69.6,2094.0,0.0529,0.1511
figure,questions_publaynet_figures_caption,gemini-flash-lite,baseline,477.9,39.6,511.8,0.002227,0.0064
figure,questions_publaynet_figures_caption,gemini-flash-lite,+KG,508.4,44.0,539.5,0.002395,0.0068
figure,questions_publaynet_figures_caption,gemini-flash-lite,+multimodal,1568.1,77.3,1054.9,0.006571,0.0188
figure,questions_publaynet_figures_caption,gemini-flash-lite,+both,1602.6,84.3,906.9,0.00679,0.0194
figure,questions_publaynet_figures_caption,llama4-scout,baseline,451.0,59.3,1946.3,0.001886,0.0054
figure,questions_publaynet_figures_caption,llama4-scout,+KG,477.5,65.5,1973.7,0.002024,0.0058
figure,questions_publaynet_figures_caption,llama4-scout,+multimodal,869.1,122.6,3455.2,0.003721,0.0106
figure,questions_publaynet_figures_caption,llama4-scout,+both,899.7,133.1,4116.4,0.003916,0.0112
figure,questions_publaynet_figures_caption,llama4-maverick,baseline,451.0,71.9,2218.9,0.003877,0.0111
figure,questions_publaynet_figures_caption,llama4-maverick,+KG,477.5,98.5,2991.1,0.004575,0.0131
figure,questions_publaynet_figures_caption,llama4-maverick,+multimodal,869.1,136.9,4149.5,0.007439,0.0213
figure,questions_publaynet_figures_caption,llama4-maverick,+both,899.7,150.9,5695.9,0.007893,0.0226
figure,questions_publaynet_figures,gpt4o-mini,baseline,484.9,4.0,1012.9,0.00263,0.0075
figure,questions_publaynet_figures,gpt4o-mini,+KG,510.8,4.0,689.7,0.002766,0.0079
figure,questions_publaynet_figures,gpt4o-mini,+multimodal,9476.7,11.7,1171.0,0.049999,0.1429
figure,questions_publaynet_figures,gpt4o-mini,+both,9506.6,14.7,1213.2,0.050218,0.1435
figure,questions_publaynet_figures,gemini-flash-lite,baseline,517.3,7.3,475.7,0.001913,0.0055
figure,questions_publaynet_figures,gemini-flash-lite,+KG,544.9,9.7,439.8,0.002043,0.0058
figure,questions_publaynet_figures,gemini-flash-lite,+multimodal,1601.3,26.2,685.5,0.005971,0.0171
figure,questions_publaynet_figures,gemini-flash-lite,+both,1632.9,21.1,764.1,0.00601,0.0172
figure,questions_publaynet_figures,llama4-scout,baseline,484.3,8.3,522.2,0.001443,0.0041
figure,questions_publaynet_figures,llama4-scout,+KG,508.2,22.9,777.0,0.001663,0.0048
figure,questions_publaynet_figures,llama4-scout,+multimodal,861.1,52.0,1785.8,0.002957,0.0084
figure,questions_publaynet_figures,llama4-scout,+both,888.9,85.2,2515.2,0.003384,0.0097
figure,questions_publaynet_figures,llama4-maverick,baseline,484.3,26.8,1108.0,0.003106,0.0089
figure,questions_publaynet_figures,llama4-maverick,+KG,508.2,58.2,1876.0,0.003891,0.0111
figure,questions_publaynet_figures,llama4-maverick,+multimodal,861.1,100.1,3801.3,0.006623,0.0189
figure,questions_publaynet_figures,llama4-maverick,+both,888.9,103.0,3397.1,0.00683,0.0195
figure,questions_publaynet_figures,gpt4o,baseline,484.9,4.0,566.3,0.04383,0.1252
figure,questions_publaynet_figures,gpt4o,+KG,510.8,4.0,642.5,0.046098,0.1317
figure,questions_publaynet_figures,gpt4o,+multimodal,760.5,29.9,1200.0,0.077012,0.22
figure,questions_publaynet_figures,gpt4o,+both,790.4,31.5,1383.3,0.0802,0.2291
